year_month,carrier,carrier_min,weather_min,nas_min,security_min,late_aircraft_min,delayed_flights,total_cause_min,carrier_share_pct,weather_share_pct,nas_share_pct,security_share_pct,late_aircraft_share_pct
2026-06,OH,161219.0,64709.0,81145.0,720.0,234074.0,5341,541867.0,29.75,11.94,14.98,0.13,43.2
2025-08,NK,65263.0,15901.0,121159.0,931.0,79394.0,3814,282648.0,23.09,5.63,42.87,0.33,28.09
2025-08,OH,129756.0,31555.0,49476.0,1377.0,220213.0,4756,432377.0,30.01,7.3,11.44,0.32,50.93
2025-08,UA,344206.0,60269.0,326522.0,136.0,444799.0,15968,1175932.0,29.27,5.13,27.77,0.01,37.83
2025-08,B6,110282.0,13358.0,83198.0,628.0,182975.0,4941,390441.0,28.25,3.42,21.31,0.16,46.86
2025-12,AA,560450.0,63844.0,212207.0,2532.0,790462.0,20932,1629495.0,34.39,3.92,13.02,0.16,48.51
2025-12,OO,871661.0,333444.0,324146.0,1082.0,441531.0,18199,1971864.0,44.2,16.91,16.44,0.05,22.39
2026-02,AS,83307.0,11376.0,34355.0,638.0,68479.0,4057,198155.0,42.04,5.74,17.34,0.32,34.56
2026-03,YX,154257.0,24552.0,183929.0,1357.0,233618.0,8056,597713.0,25.81,4.11,30.77,0.23,39.09
2026-04,AA,490402.0,58251.0,197643.0,1723.0,671617.0,18592,1419636.0,34.54,4.1,13.92,0.12,47.31
2026-05,OO,535133.0,137931.0,235319.0,760.0,317891.0,14925,1227034.0,43.61,11.24,19.18,0.06,25.91
2026-07,MQ,104823.0,53512.0,85793.0,488.0,180784.0,5497,425400.0,24.64,12.58,20.17,0.11,42.5
2026-07,OH,231847.0,83887.0,100600.0,707.0,364652.0,7286,781693.0,29.66,10.73,12.87,0.09,46.65
2026-07,B6,213813.0,23456.0,153170.0,897.0,320036.0,7888,711372.0,30.06,3.3,21.53,0.13,44.99
2026-07,DL,738179.0,87771.0,433616.0,1118.0,574314.0,23649,1834998.0,40.23,4.78,23.63,0.06,31.3
2026-01,OO,710690.0,293909.0,188769.0,722.0,280900.0,14712,1474990.0,48.18,19.93,12.8,0.05,19.04
2026-02,WN,277526.0,16073.0,166382.0,3255.0,414789.0,18189,878025.0,31.61,1.83,18.95,0.37,47.24
2026-03,UA,296193.0,54167.0,414231.0,118.0,436463.0,14486,1201172.0,24.66,4.51,34.49,0.01,36.34
2026-06,AA,707818.0,168646.0,312005.0,2318.0,1128604.0,25173,2319391.0,30.52,7.27,13.45,0.1,48.66
2026-07,YX,157168.0,56253.0,196545.0,190.0,222746.0,7087,632902.0,24.83,8.89,31.05,0.03,35.19
2025-08,YX,99901.0,26967.0,102435.0,113.0,117965.0,4888,347381.0,28.76,7.76,29.49,0.03,33.96
2025-08,G4,92914.0,35863.0,31047.0,668.0,90932.0,2513,251424.0,36.96,14.26,12.35,0.27,36.17
2025-08,MQ,54208.0,51615.0,77484.0,506.0,166598.0,5521,350411.0,15.47,14.73,22.11,0.14,47.54
2025-08,DL,513058.0,57830.0,194528.0,511.0,322743.0,15208,1088670.0,47.13,5.31,17.87,0.05,29.65
2026-03,DL,555928.0,64140.0,295954.0,616.0,341691.0,16789,1258329.0,44.18,5.1,23.52,0.05,27.15
2026-03,G4,83108.0,39112.0,80316.0,1201.0,122969.0,3398,326706.0,25.44,11.97,24.58,0.37,37.64
2026-03,MQ,73321.0,52755.0,95824.0,571.0,163738.0,5132,386209.0,18.98,13.66,24.81,0.15,42.4
2026-03,B6,121867.0,10763.0,105684.0,2259.0,223893.0,6247,464466.0,26.24,2.32,22.75,0.49,48.2
2026-05,AA,556350.0,119637.0,231956.0,2010.0,779682.0,20427,1689635.0,32.93,7.08,13.73,0.12,46.14
2026-07,UA,413144.0,90437.0,518722.0,53.0,580668.0,19252,1603024.0,25.77,5.64,32.36,0.0,36.22
2026-01,AA,614161.0,167358.0,187029.0,3243.0,604627.0,16717,1576418.0,38.96,10.62,11.86,0.21,38.35
2026-02,F9,76348.0,5085.0,47297.0,0.0,126113.0,3199,254843.0,29.96,2.0,18.56,0.0,49.49
2026-03,NK,133621.0,4964.0,149308.0,1152.0,138176.0,5303,427221.0,31.28,1.16,34.95,0.27,32.34
2026-03,OH,180688.0,47084.0,65767.0,2244.0,286833.0,5540,582616.0,31.01,8.08,11.29,0.39,49.23
