origin,flight_date,airport_code,y,lightgbm,seasonal_naive,mean_4wk_same_weekday,target
2026-06-12,2026-06-19,SEA,532.0,404.9195230442124,531.0,514.0,scheduled_departures
2026-06-19,2026-06-20,ATL,782.0,788.250658571955,786.0,774.5,scheduled_departures
2026-06-19,2026-06-21,ATL,930.0,929.9398177087396,931.0,903.25,scheduled_departures
2026-06-19,2026-06-22,ATL,944.0,947.7655864215183,945.0,939.25,scheduled_departures
2026-06-19,2026-06-23,ATL,895.0,902.8572185094135,896.0,893.75,scheduled_departures
2026-06-19,2026-06-24,ATL,896.0,886.583007152698,898.0,897.5,scheduled_departures
2026-06-19,2026-06-25,ATL,942.0,931.1165784461638,940.0,940.25,scheduled_departures
2026-06-19,2026-06-26,ATL,943.0,933.9560512448221,941.0,940.0,scheduled_departures
2026-06-19,2026-06-20,CLT,476.0,491.54180608155247,475.0,471.5,scheduled_departures
2026-06-19,2026-06-21,CLT,514.0,517.4876270393569,514.0,512.25,scheduled_departures
2026-06-19,2026-06-22,CLT,516.0,526.0713922744698,516.0,514.5,scheduled_departures
2026-06-19,2026-06-23,CLT,492.0,500.8850755071506,492.0,486.0,scheduled_departures
2026-06-19,2026-06-24,CLT,500.0,499.22316432498144,500.0,494.25,scheduled_departures
2026-06-19,2026-06-25,CLT,518.0,527.2313596599028,518.0,518.75,scheduled_departures
2026-06-19,2026-06-26,CLT,517.0,525.697994579268,517.0,516.75,scheduled_departures
2026-06-19,2026-06-20,DEN,873.0,903.7966066897103,870.0,850.75,scheduled_departures
2026-06-19,2026-06-21,DEN,978.0,997.0232870363793,978.0,951.0,scheduled_departures
2026-06-19,2026-06-22,DEN,997.0,1017.6294614423259,996.0,980.0,scheduled_departures
2026-06-19,2026-06-23,DEN,918.0,925.8567121771874,918.0,895.25,scheduled_departures
2026-06-19,2026-06-24,DEN,953.0,949.0865310989656,952.0,927.75,scheduled_departures
2026-06-19,2026-06-25,DEN,1001.0,1006.8105426916492,998.0,989.25,scheduled_departures
2026-06-19,2026-06-26,DEN,1001.0,1004.3152072016213,1000.0,990.0,scheduled_departures
2026-06-19,2026-06-20,DFW,904.0,915.9043251647771,901.0,897.25,scheduled_departures
2026-06-19,2026-06-21,DFW,952.0,954.9617610061729,947.0,941.0,scheduled_departures
2026-06-19,2026-06-22,DFW,954.0,961.8157057786698,949.0,940.25,scheduled_departures
2026-06-19,2026-06-23,DFW,902.0,916.7814757993269,902.0,892.5,scheduled_departures
2026-06-19,2026-06-24,DFW,910.0,914.1848012257342,907.0,898.75,scheduled_departures
2026-06-19,2026-06-25,DFW,954.0,960.2121486252759,952.0,947.0,scheduled_departures
2026-06-19,2026-06-26,DFW,953.0,962.6235593882025,953.0,947.25,scheduled_departures
2026-06-19,2026-06-20,LAS,378.0,393.0066511177771,376.0,376.5,scheduled_departures
2026-06-19,2026-06-21,LAS,491.0,494.41993411724434,490.0,494.75,scheduled_departures
2026-06-19,2026-06-22,LAS,496.0,500.6943175364612,494.0,502.5,scheduled_departures
2026-06-19,2026-06-23,LAS,416.0,417.08644871800806,415.0,421.5,scheduled_departures
2026-06-19,2026-06-24,LAS,418.0,415.5921684549592,418.0,424.25,scheduled_departures
2026-06-19,2026-06-25,LAS,495.0,499.02645404828485,496.0,499.75,scheduled_departures
2026-06-19,2026-06-26,LAS,496.0,501.4388241611169,499.0,502.25,scheduled_departures
2026-06-19,2026-06-20,LAX,510.0,529.3112676572798,515.0,505.0,scheduled_departures
2026-06-19,2026-06-21,LAX,572.0,564.1302025769577,570.0,551.0,scheduled_departures
2026-06-19,2026-06-22,LAX,581.0,590.2470811094893,584.0,573.75,scheduled_departures
2026-06-19,2026-06-23,LAX,539.0,543.0440698227774,538.0,528.25,scheduled_departures
2026-06-19,2026-06-24,LAX,546.0,532.5676109463465,544.0,534.5,scheduled_departures
2026-06-19,2026-06-25,LAX,587.0,587.0384925276086,587.0,578.5,scheduled_departures
2026-06-19,2026-06-26,LAX,586.0,582.0466544907167,582.0,576.75,scheduled_departures
2026-06-19,2026-06-20,MCO,442.0,445.46895735669904,442.0,433.25,scheduled_departures
2026-06-19,2026-06-21,MCO,428.0,429.1056137752362,427.0,419.5,scheduled_departures
2026-06-19,2026-06-22,MCO,427.0,437.9787904650894,428.0,425.75,scheduled_departures
2026-06-19,2026-06-23,MCO,401.0,403.1437118265511,397.0,392.0,scheduled_departures
2026-06-19,2026-06-24,MCO,402.0,407.3157968885037,400.0,391.0,scheduled_departures
2026-06-19,2026-06-25,MCO,424.0,436.1985243932157,424.0,422.25,scheduled_departures
2026-06-19,2026-06-26,MCO,431.0,436.4728102666423,427.0,426.75,scheduled_departures
2026-06-19,2026-06-20,ORD,980.0,982.3759784589344,981.0,1004.5,scheduled_departures
2026-06-19,2026-06-21,ORD,1058.0,1064.474434746511,1059.0,1072.75,scheduled_departures
2026-06-19,2026-06-22,ORD,1061.0,1070.6207502789293,1062.0,1072.75,scheduled_departures
2026-06-19,2026-06-23,ORD,1039.0,1037.5228978896168,1040.0,1051.0,scheduled_departures
2026-06-19,2026-06-24,ORD,1041.0,1041.549797947027,1047.0,1059.25,scheduled_departures
2026-06-19,2026-06-25,ORD,1065.0,1063.317960016109,1062.0,1069.75,scheduled_departures
2026-06-19,2026-06-26,ORD,1067.0,1066.1574328147676,1063.0,1071.75,scheduled_departures
2026-06-19,2026-06-20,PHX,476.0,486.23256079661263,477.0,470.0,scheduled_departures
2026-06-19,2026-06-21,PHX,527.0,524.8794294910988,526.0,534.5,scheduled_departures
2026-06-19,2026-06-22,PHX,543.0,548.6808395095203,541.0,557.75,scheduled_departures
2026-06-19,2026-06-23,PHX,508.0,506.8985741254127,504.0,513.75,scheduled_departures
2026-06-19,2026-06-24,PHX,513.0,505.0717704876518,512.0,519.0,scheduled_departures
2026-06-19,2026-06-25,PHX,542.0,543.0523019433389,541.0,548.25,scheduled_departures
2026-06-19,2026-06-26,PHX,544.0,543.7801567649535,541.0,549.25,scheduled_departures
2026-06-19,2026-06-20,SEA,497.0,506.1595139154207,494.0,474.25,scheduled_departures
2026-06-19,2026-06-21,SEA,525.0,535.5992978393632,528.0,505.75,scheduled_departures
2026-06-19,2026-06-22,SEA,527.0,533.235487383677,530.0,511.5,scheduled_departures
2026-06-19,2026-06-23,SEA,511.0,513.175386644219,512.0,492.5,scheduled_departures
