route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct
SFB-CVG,SFB,CVG,735.0,351,1,64.86,24.13,91.0,0.285
PIE-CVG,PIE,CVG,776.0,351,1,72.7,16.04,64.9,0.57
SNA-PVU,SNA,PVU,565.0,407,1,70.94,37.03,75.5,0.246
PIE-GRR,PIE,GRR,1044.0,381,1,75.66,7.35,43.3,0.262
MQT-ORD,MQT,ORD,303.0,744,1,72.8,24.98,97.0,4.973
BMI-ORD,BMI,ORD,116.0,879,1,82.57,7.34,47.2,3.413
LSE-ORD,LSE,ORD,215.0,1051,1,82.0,2.93,48.3,4.662
XNA-ORD,XNA,ORD,522.0,1842,5,77.13,10.11,59.0,2.063
ORD-EVV,ORD,EVV,272.0,699,3,74.4,12.05,60.3,4.292
DFW-RAP,DFW,RAP,835.0,1006,2,80.34,2.41,33.0,1.69
RAP-DFW,RAP,DFW,835.0,1006,2,83.32,3.34,39.6,1.889
DFW-FAR,DFW,FAR,967.0,1086,1,84.27,-1.25,24.0,1.75
ORD-BMI,ORD,BMI,116.0,879,1,77.75,5.77,63.2,3.641
TXK-DFW,TXK,DFW,181.0,723,1,84.98,3.32,36.0,3.043
DCA-XNA,DCA,XNA,963.0,365,1,77.23,12.93,63.4,4.932
TLH-MIA,TLH,MIA,402.0,1191,3,80.74,8.07,37.0,0.42
DFW-GGG,DFW,GGG,140.0,718,1,82.61,6.89,36.0,2.925
DFW-TXK,DFW,TXK,181.0,723,1,82.43,5.17,33.1,3.181
MIA-SRQ,MIA,SRQ,178.0,333,2,84.68,4.35,28.0,0.0
DFW-GNV,DFW,GNV,900.0,703,2,84.97,0.63,35.0,1.28
ACY-PBI,ACY,PBI,936.0,326,1,82.35,0.61,37.5,5.521
SLC-RDU,SLC,RDU,1824.0,383,1,88.3,-3.48,20.5,1.305
ACK-JFK,ACK,JFK,199.0,301,2,72.26,12.01,79.7,8.97
MVY-LGA,MVY,LGA,175.0,321,1,79.94,5.56,41.0,3.738
ROC-BOS,ROC,BOS,343.0,384,2,83.65,0.1,45.0,2.865
BGR-EWR,BGR,EWR,393.0,482,1,69.87,13.0,63.0,4.979
EWR-GSP,EWR,GSP,594.0,776,1,85.71,-4.15,29.6,5.284
EWR-BGR,EWR,BGR,393.0,483,1,83.7,3.69,33.1,4.762
PIT-ORD,PIT,ORD,413.0,4003,5,78.82,10.82,53.0,2.198
SFO-BUR,SFO,BUR,326.0,3062,3,76.1,7.6,54.0,1.078
DEN-RAP,DEN,RAP,301.0,2867,2,78.06,8.46,50.0,0.977
TUS-DEN,TUS,DEN,639.0,2740,4,83.38,4.04,34.0,0.547
DEN-DSM,DEN,DSM,589.0,2331,4,80.42,4.78,40.7,0.515
ATW-ORD,ATW,ORD,160.0,2430,2,71.08,15.85,82.0,4.733
BZN-DEN,BZN,DEN,524.0,2722,3,77.42,5.08,46.0,0.404
OTH-SFO,OTH,SFO,412.0,316,1,62.74,28.47,74.1,0.633
DEN-FSD,DEN,FSD,483.0,1819,3,82.38,5.33,37.0,0.88
STL-DEN,STL,DEN,770.0,3676,4,75.53,10.36,53.0,0.272
DEN-MOT,DEN,MOT,604.0,1108,1,75.07,12.48,58.0,1.083
DEN-DRO,DEN,DRO,251.0,2187,2,80.68,5.41,40.0,0.914
IAH-SHV,IAH,SHV,192.0,1202,1,74.75,15.65,52.0,1.082
EUG-DEN,EUG,DEN,996.0,1267,3,79.81,6.99,45.0,0.395
ORD-TVC,ORD,TVC,224.0,2770,5,67.97,23.73,84.0,4.801
MHK-ORD,MHK,ORD,501.0,575,2,77.22,11.96,75.8,3.652
SHV-DFW,SHV,DFW,190.0,2125,3,76.4,17.96,68.9,3.718
SBN-DFW,SBN,DFW,846.0,984,2,73.61,17.7,79.4,2.337
DFW-STL,DFW,STL,550.0,2382,5,68.36,21.17,81.0,3.065
STL-DFW,STL,DFW,550.0,2381,5,75.16,19.03,75.0,3.276
TUS-LAX,TUS,LAX,451.0,2589,2,86.38,0.25,26.0,0.425
PHX-FAT,PHX,FAT,493.0,1475,3,79.67,8.41,45.0,0.475
BNA-ORD,BNA,ORD,409.0,5029,9,71.56,19.93,77.0,2.923
PHX-PSP,PHX,PSP,261.0,1444,3,78.07,10.17,56.0,0.97
PDX-LAX,PDX,LAX,833.0,4345,4,86.79,-0.27,21.0,0.69
SDF-DFW,SDF,DFW,733.0,2002,5,74.82,18.49,64.0,3.497
DFW-AEX,DFW,AEX,285.0,1045,2,84.13,0.57,32.0,3.828
LAX-TUS,LAX,TUS,451.0,2600,2,79.64,7.49,48.0,0.385
LAX-TUL,LAX,TUL,1283.0,375,2,91.18,-1.5,12.0,0.267
ORD-RST,ORD,RST,268.0,1057,2,65.17,26.55,85.9,4.825
TUL-LAX,TUL,LAX,1283.0,376,2,86.93,1.93,20.0,0.266
JAC-LAX,JAC,LAX,784.0,679,2,78.8,7.35,51.0,1.62
DFW-CRP,DFW,CRP,355.0,2512,3,80.34,5.58,40.0,2.787
ASE-DFW,ASE,DFW,701.0,1185,1,66.7,25.89,106.2,7.173
ORD-MCI,ORD,MCI,403.0,4197,6,72.1,14.39,64.0,2.597
OKC-ORD,OKC,ORD,693.0,2616,4,75.12,14.66,71.0,3.02
SPS-DFW,SPS,DFW,113.0,729,2,83.71,6.67,37.5,3.155
ORD-SPI,ORD,SPI,174.0,708,2,75.26,11.56,61.6,3.249
PHX-ELP,PHX,ELP,347.0,2488,4,76.66,9.02,44.0,0.643
MAF-DFW,MAF,DFW,309.0,2921,3,82.9,8.46,45.0,3.081
DFW-CLL,DFW,CLL,164.0,1213,2,85.58,-1.66,26.9,3.133
DSM-ORD,DSM,ORD,299.0,3411,6,73.94,17.54,66.0,4.134
SAF-DFW,SAF,DFW,551.0,1762,2,79.05,7.11,52.0,2.838
PSP-PHX,PSP,PHX,261.0,1444,3,80.14,12.26,57.0,0.9
ORD-ELP,ORD,ELP,1236.0,724,5,72.34,8.68,59.0,2.21
LAX-SMF,LAX,SMF,373.0,5640,5,84.69,1.22,28.0,0.39
DFW-ASE,DFW,ASE,701.0,1187,1,68.47,15.34,82.9,4.465
SEA-LAX,SEA,LAX,954.0,7454,6,82.67,2.02,28.0,0.845
DFW-LBB,DFW,LBB,282.0,2622,4,79.64,8.64,51.0,2.67
LBB-DFW,LBB,DFW,282.0,2622,4,82.54,7.3,44.0,2.555
PHX-SBP,PHX,SBP,509.0,1259,3,84.05,3.45,31.0,0.794
DTW-ORD,DTW,ORD,235.0,5956,8,72.57,17.52,71.4,3.24
PHX-SLC,PHX,SLC,507.0,5773,6,83.04,2.4,31.0,0.502
IDA-DFW,IDA,DFW,1095.0,529,1,74.17,16.78,73.0,1.701
LAX-JAC,LAX,JAC,784.0,679,2,81.02,1.85,32.7,0.884
DFW-ROW,DFW,ROW,435.0,827,2,80.79,2.32,40.0,2.297
SAT-LAX,SAT,LAX,1211.0,1846,4,86.48,1.01,25.0,0.433
ONT-PHX,ONT,PHX,325.0,3027,4,82.48,5.64,32.0,0.628
STS-SAN,STS,SAN,508.0,1009,2,74.92,9.88,47.4,2.973
STS-BUR,STS,BUR,387.0,671,2,81.57,-0.01,33.0,2.534
GEG-SFO,GEG,SFO,733.0,896,2,73.29,12.47,64.0,0.335
SBP-SAN,SBP,SAN,263.0,467,1,78.65,9.56,43.6,3.854
BUR-BOI,BUR,BOI,656.0,429,2,84.94,-5.52,27.6,0.466
PSP-SEA,PSP,SEA,987.0,1649,3,87.28,-4.19,20.0,1.213
SEA-BLI,SEA,BLI,93.0,1216,1,85.02,0.99,27.0,2.303
AUS-SAN,AUS,SAN,1164.0,2561,3,74.29,7.22,48.0,1.171
SEA-SLC,SEA,SLC,689.0,4124,4,83.58,0.14,27.5,0.849
BLI-SEA,BLI,SEA,93.0,1217,1,83.19,2.56,28.1,2.136
SAN-BOI,SAN,BOI,749.0,1031,3,79.26,3.21,42.0,0.388
SEA-TUS,SEA,TUS,1215.0,1065,3,82.74,1.02,26.0,0.469
TUS-SEA,TUS,SEA,1215.0,1065,3,86.11,-1.02,21.0,0.657
SMF-SAN,SMF,SAN,480.0,5180,3,71.99,10.96,44.0,0.985
LAX-STS,LAX,STS,399.0,728,2,88.9,-5.22,18.0,2.335
BOI-LAS,BOI,LAS,519.0,1363,5,81.1,3.56,35.0,0.22
SEA-STS,SEA,STS,618.0,428,2,84.1,-0.61,28.0,2.103
RNO-SEA,RNO,SEA,564.0,904,2,76.48,5.39,38.8,1.106
EUG-SAN,EUG,SAN,850.0,474,3,77.04,4.0,38.0,0.844
SAN-SLC,SAN,SLC,626.0,3011,4,84.39,1.35,29.0,0.697
MDW-DTW,MDW,DTW,228.0,1254,2,76.7,6.95,39.9,1.675
SLC-LGB,SLC,LGB,588.0,1567,3,87.31,-2.75,21.0,0.383
SLC-FAT,SLC,FAT,501.0,1366,1,93.81,-5.77,7.0,0.512
OKC-MSP,OKC,MSP,694.0,372,2,87.77,0.66,18.0,0.806
SBA-SLC,SBA,SLC,615.0,1060,2,95.05,-10.24,3.0,0.943
SLC-RDM,SLC,RDM,525.0,729,1,93.74,-3.69,8.0,0.412
AUS-MAF,AUS,MAF,294.0,600,2,79.03,7.24,41.5,0.5
SEA-SJC,SEA,SJC,696.0,4384,5,81.28,1.99,32.0,0.57
SJC-SEA,SJC,SEA,696.0,4381,5,83.41,-1.68,29.0,0.616
DTW-SDF,DTW,SDF,306.0,1128,4,78.53,10.85,54.8,1.241
DTW-MKE,DTW,MKE,237.0,1498,4,76.34,12.72,66.0,1.335
SLC-LWS,SLC,LWS,461.0,365,1,93.13,-7.98,7.0,0.0
BNA-AUS,BNA,AUS,756.0,3028,2,80.35,2.69,39.0,0.495
SLC-OMA,SLC,OMA,840.0,755,1,89.76,-3.36,15.0,0.132
AZO-DTW,AZO,DTW,113.0,1027,1,77.29,18.69,99.0,2.24
OMA-DTW,OMA,DTW,650.0,1145,2,81.48,5.65,49.7,0.699
ABQ-SLC,ABQ,SLC,493.0,1154,1,93.59,-7.57,6.7,0.0
RNO-SLC,RNO,SLC,422.0,1198,2,90.71,-2.69,13.0,0.167
SLC-OKC,SLC,OKC,866.0,720,1,89.5,-2.89,15.0,0.556
SJC-LAX,SJC,LAX,308.0,4476,6,85.84,-2.55,23.0,0.849
SUN-SLC,SUN,SLC,222.0,1078,1,94.19,-7.78,2.3,0.742
AUS-MEM,AUS,MEM,559.0,365,1,78.61,8.45,63.3,1.37
MSP-GFK,MSP,GFK,284.0,1078,1,83.57,5.14,32.2,1.484
SLC-BZN,SLC,BZN,347.0,1162,2,88.16,-1.79,18.2,0.516
DLH-MSP,DLH,MSP,144.0,1206,2,82.35,6.37,50.6,2.653
MSP-DLH,MSP,DLH,144.0,1207,2,80.48,9.25,54.8,2.651
RIC-DTW,RIC,DTW,455.0,650,4,86.16,-0.3,31.0,0.923
SLC-JAC,SLC,JAC,205.0,1219,2,87.51,0.18,21.0,0.82
STL-SLC,STL,SLC,1156.0,990,3,87.33,3.77,22.2,0.909
SLC-GEG,SLC,GEG,546.0,1671,2,86.23,1.62,27.0,0.479
ALB-DTW,ALB,DTW,489.0,1095,2,83.1,8.42,44.4,1.553
SLC-RNO,SLC,RNO,422.0,1198,2,87.95,-1.2,21.6,0.167
LGB-SLC,LGB,SLC,588.0,1567,3,89.27,-2.41,16.0,0.447
LAX-SAN,LAX,SAN,109.0,2447,2,85.35,2.44,26.0,0.94
DTW-GSP,DTW,GSP,508.0,551,2,75.75,12.86,59.0,2.541
DTW-SAV,DTW,SAV,705.0,595,2,78.36,6.26,46.4,1.176
ELM-DTW,ELM,DTW,331.0,925,1,83.77,5.05,46.9,1.405
SEA-MFR,SEA,MFR,352.0,1274,1,87.66,0.19,20.0,1.02
GRR-MSP,GRR,MSP,408.0,1248,2,80.42,4.98,48.0,1.202
MSP-OKC,MSP,OKC,694.0,370,1,77.69,8.35,51.6,1.081
SLC-FCA,SLC,FCA,532.0,1111,2,90.08,-1.23,14.0,0.72
DTW-ROC,DTW,ROC,296.0,483,2,75.8,20.12,90.0,2.277
ROC-DTW,ROC,DTW,296.0,482,2,78.72,17.55,71.2,2.49
MSO-SLC,MSO,SLC,436.0,1059,2,91.4,-4.88,9.0,0.944
SLC-MSO,SLC,MSO,436.0,1059,2,88.91,-0.28,17.0,0.944
MSP-SBN,MSP,SBN,411.0,365,1,76.04,15.05,72.2,1.37
MSP-SDF,MSP,SDF,604.0,526,1,82.24,0.26,39.6,1.141
SDF-MSP,SDF,MSP,604.0,527,1,81.57,6.41,36.0,1.139
IDA-SLC,IDA,SLC,189.0,1193,2,91.84,-1.37,10.0,0.419
ATW-DTW,ATW,DTW,296.0,1069,2,79.32,10.97,78.4,1.403
MKE-DTW,MKE,DTW,237.0,1498,4,79.58,12.91,69.8,1.402
DTW-FWA,DTW,FWA,128.0,679,1,73.44,19.64,88.7,0.589
SGF-ATL,SGF,ATL,563.0,591,2,82.62,7.61,40.0,1.184
MSY-AUS,MSY,AUS,445.0,1999,3,77.81,6.35,42.0,0.4
LGA-OKC,LGA,OKC,1341.0,774,2,72.59,11.83,69.0,5.943
IND-AUS,IND,AUS,919.0,1272,3,84.91,-0.15,26.0,0.236
ONT-SEA,ONT,SEA,956.0,2505,4,86.35,-1.28,22.0,1.078
DTW-MEM,DTW,MEM,610.0,1012,4,77.42,11.27,68.6,1.68
DTW-PIT,DTW,PIT,201.0,984,3,78.48,10.4,60.0,0.711
SGU-SLC,SGU,SLC,272.0,1719,1,93.59,-8.65,6.0,0.175
EKO-SLC,EKO,SLC,200.0,578,1,95.64,-14.99,-5.0,0.692
MSP-XWA,MSP,XWA,553.0,1039,1,77.22,15.36,50.0,1.54
BRD-MSP,BRD,MSP,114.0,631,1,85.99,-2.57,34.0,1.585
DEN-FAR,DEN,FAR,627.0,1422,3,79.22,8.02,51.2,0.844
HSV-DEN,HSV,DEN,1048.0,728,1,84.55,0.58,31.0,0.137
CRW-ORD,CRW,ORD,416.0,948,1,64.93,29.01,96.0,4.008
ORD-FWA,ORD,FWA,157.0,2765,3,64.4,22.99,88.9,4.557
CPR-DEN,CPR,DEN,230.0,2600,1,82.98,2.82,41.0,0.769
AUS-IAH,AUS,IAH,140.0,2695,2,75.93,9.31,34.8,1.15
DEN-BIS,DEN,BIS,516.0,1466,1,76.27,13.06,64.7,0.614
DEN-MTJ,DEN,MTJ,197.0,1416,3,75.53,9.63,49.0,0.071
LIT-DEN,LIT,DEN,771.0,1572,4,80.17,5.84,48.0,0.636
MLI-DEN,MLI,DEN,751.0,366,1,82.97,4.14,41.5,0.273
DEN-AVL,DEN,AVL,1248.0,427,3,86.46,3.58,23.0,0.937
MRY-DEN,MRY,DEN,959.0,728,2,93.21,-9.52,5.0,0.275
GEG-ORD,GEG,ORD,1498.0,714,3,65.04,20.93,69.2,1.541
PSC-DEN,PSC,DEN,853.0,728,2,89.43,-5.69,15.0,0.549
BFL-SFO,BFL,SFO,238.0,583,1,74.44,9.93,43.2,0.686
AVL-DEN,AVL,DEN,1248.0,426,3,79.95,8.7,55.2,1.174
BIL-DEN,BIL,DEN,455.0,1778,2,82.21,1.78,39.0,0.731
BOI-SFO,BOI,SFO,522.0,1716,2,68.49,17.23,71.0,0.466
ORD-GRB,ORD,GRB,173.0,2698,3,70.54,16.8,73.8,4.448
LEX-DEN,LEX,DEN,1086.0,365,2,85.32,2.49,26.0,0.822
AMA-DEN,AMA,DEN,359.0,685,1,78.14,8.87,61.3,2.044
DEN-EUG,DEN,EUG,996.0,1268,3,73.36,9.69,43.0,0.237
IAH-LIT,IAH,LIT,374.0,651,1,77.28,9.72,52.4,0.461
DEN-ATW,DEN,ATW,883.0,411,3,69.7,10.53,62.0,0.73
GRB-ORD,GRB,ORD,173.0,2698,3,72.52,16.08,72.8,4.448
FAT-DEN,FAT,DEN,844.0,1449,3,87.83,-2.11,21.5,0.0
RNO-SFO,RNO,SFO,192.0,1928,2,61.87,18.63,69.0,1.4
ORD-CAK,ORD,CAK,344.0,2028,3,65.13,27.83,100.0,5.572
MAF-IAH,MAF,IAH,429.0,777,2,82.25,6.92,29.0,0.515
MAF-DEN,MAF,DEN,563.0,1506,2,83.19,5.95,37.4,0.863
GRI-DFW,GRI,DFW,562.0,707,1,74.89,20.92,98.0,2.829
DFW-MHK,DFW,MHK,431.0,1088,2,82.21,3.11,35.4,2.482
LAX-XNA,LAX,XNA,1371.0,442,2,88.21,-3.4,23.0,0.226
ORD-CVG,ORD,CVG,264.0,4672,6,73.36,13.37,66.0,3.232
ORD-RIC,ORD,RIC,642.0,2223,4,71.67,15.1,60.0,2.924
PHX-SJC,PHX,SJC,621.0,2987,4,78.28,5.81,38.0,0.502
LAX-IAH,LAX,IAH,1379.0,5216,5,84.85,1.19,27.0,0.498
PHX-PSC,PHX,PSC,962.0,693,1,85.26,1.23,29.9,0.144
STS-PHX,STS,PHX,699.0,693,3,76.92,10.73,40.2,0.433
DFW-TUL,DFW,TUL,237.0,2781,4,72.7,14.31,61.0,3.128
DFW-SAT,DFW,SAT,247.0,4376,4,67.03,21.5,80.0,3.154
LAX-STL,LAX,STL,1592.0,1027,2,76.25,7.72,38.2,0.584
DDC-DEN,DDC,DEN,292.0,627,1,75.69,23.55,86.0,1.276
ORD-SUX,ORD,SUX,436.0,365,1,61.7,36.97,90.7,4.932
DEN-ATY,DEN,ATY,519.0,362,1,85.0,0.01,34.1,0.276
IAD-MGW,IAD,MGW,140.0,362,1,73.65,46.57,125.2,6.077
ORD-MCW,ORD,MCW,288.0,627,1,71.72,13.28,69.0,6.22
BTM-DEN,BTM,DEN,578.0,365,1,80.44,8.15,44.8,0.274
EAU-ORD,EAU,ORD,269.0,626,1,72.01,27.55,91.8,4.952
DEN-RKS,DEN,RKS,260.0,728,1,78.16,11.65,47.0,0.549
EAR-DEN,EAR,DEN,305.0,626,1,86.29,3.68,27.1,0.639
JST-IAD,JST,IAD,119.0,330,1,73.98,39.08,239.2,3.333
IAD-JST,IAD,JST,119.0,330,1,76.11,35.08,126.2,3.636
DEN-DVL,DEN,DVL,638.0,627,1,85.95,-2.86,28.0,1.914
DEN-SGU,DEN,SGU,517.0,1074,1,80.39,6.0,40.5,0.279
LAX-PRC,LAX,PRC,346.0,364,1,84.17,18.63,41.0,0.275
PRC-LAX,PRC,LAX,346.0,364,1,84.02,6.17,28.0,0.275
JLN-DEN,JLN,DEN,582.0,327,1,71.38,20.23,79.3,0.612
DEN-PIR,DEN,PIR,385.0,661,1,81.61,8.35,51.4,1.664
ORD-JLN,ORD,JLN,484.0,365,1,69.32,22.51,81.7,2.74
SLN-DEN,SLN,DEN,383.0,365,1,84.93,8.97,50.6,0.0
SLN-ORD,SLN,ORD,559.0,362,1,82.52,6.4,42.8,3.315
PRC-DEN,PRC,DEN,558.0,608,1,83.69,11.82,41.0,0.658
DEN-AMA,DEN,AMA,359.0,684,1,76.3,7.76,59.0,1.754
DEN-XNA,DEN,XNA,616.0,1314,3,82.02,3.46,35.0,0.533
SBP-DEN,SBP,DEN,931.0,724,2,81.88,14.06,50.9,0.552
SAF-DEN,SAF,DEN,303.0,1653,1,79.55,7.59,48.3,1.089
SFO-RDD,SFO,RDD,199.0,877,1,72.63,31.82,81.2,1.938
ATW-DEN,ATW,DEN,883.0,411,3,81.57,5.65,46.0,0.973
SDF-ORD,SDF,ORD,286.0,2796,6,79.64,5.79,46.0,2.861
DEN-MCI,DEN,MCI,533.0,4321,4,76.72,8.49,48.0,0.347
LAX-SUN,LAX,SUN,696.0,328,1,87.16,-2.51,29.4,0.0
IAH-TUL,IAH,TUL,429.0,1087,2,82.27,4.75,37.0,0.368
MSY-ORD,MSY,ORD,837.0,2401,7,78.46,10.85,47.0,2.541
ORD-GSO,ORD,GSO,589.0,1564,3,77.92,5.3,46.0,3.005
BWI-ORD,BWI,ORD,622.0,2689,8,75.98,13.73,54.0,2.417
DEN-LBB,DEN,LBB,456.0,982,2,72.38,18.15,68.8,1.426
ORD-PVD,ORD,PVD,849.0,1686,5,69.67,15.76,71.0,3.44
SFO-TUS,SFO,TUS,751.0,945,2,78.11,7.27,46.0,0.317
MEM-IAH,MEM,IAH,468.0,1086,2,80.07,5.7,39.0,1.105
ORD-MDT,ORD,MDT,594.0,2131,5,73.57,12.15,59.0,3.285
STL-IAH,STL,IAH,667.0,423,2,80.62,-0.64,31.0,1.182
FSD-DEN,FSD,DEN,483.0,1820,3,80.42,6.57,45.0,1.319
SFO-ASE,SFO,ASE,848.0,378,1,69.14,31.68,93.6,2.381
SFO-MSP,SFO,MSP,1589.0,1913,3,80.03,2.11,37.0,0.68
JAC-DEN,JAC,DEN,406.0,1631,2,79.0,5.82,47.0,1.41
RAP-DEN,RAP,DEN,301.0,2867,2,80.08,4.69,40.0,1.116
DEN-PSP,DEN,PSP,776.0,2026,4,76.9,6.39,44.0,0.444
DEN-LNK,DEN,LNK,423.0,1588,1,76.9,11.76,61.0,0.756
ACV-DEN,ACV,DEN,1026.0,370,1,76.58,18.25,91.0,1.351
XNA-DEN,XNA,DEN,616.0,1313,3,80.78,6.49,44.0,0.762
SFO-RNO,SFO,RNO,192.0,1928,2,73.83,11.57,55.0,1.089
TUS-ORD,TUS,ORD,1437.0,1040,4,76.56,11.94,60.0,1.442
ORD-SDF,ORD,SDF,286.0,2793,6,76.39,8.01,55.0,3.58
LAX-BZN,LAX,BZN,902.0,542,2,89.09,-3.87,20.0,0.0
BZN-ORD,BZN,ORD,1185.0,1267,4,73.49,14.83,68.0,1.105
DEN-CID,DEN,CID,692.0,1128,3,80.25,7.43,43.0,0.621
BUR-PHX,BUR,PHX,369.0,3119,4,83.17,4.45,36.0,0.994
PHX-ICT,PHX,ICT,870.0,769,3,77.87,6.13,38.0,0.91
IAH-PNS,IAH,PNS,489.0,565,3,74.19,11.89,67.0,0.708
PNS-IAH,PNS,IAH,489.0,565,3,83.51,7.31,48.3,1.239
DEN-MSP,DEN,MSP,680.0,5845,5,78.45,5.36,41.0,0.582
CHA-ORD,CHA,ORD,501.0,954,3,71.51,13.72,62.0,4.088
MSP-ORD,MSP,ORD,334.0,6344,8,70.58,16.97,69.0,2.759
ORD-CHA,ORD,CHA,501.0,956,3,69.54,15.45,71.5,5.021
ORD-MSP,ORD,MSP,334.0,6344,8,70.22,17.75,67.0,2.569
PSP-LAX,PSP,LAX,110.0,483,1,85.24,1.75,22.0,0.414
ORD-ROC,ORD,ROC,528.0,2336,4,74.2,10.26,54.0,2.44
ABQ-ORD,ABQ,ORD,1118.0,1146,5,78.42,9.74,56.0,1.571
PDX-ONT,PDX,ONT,838.0,566,3,83.81,1.67,24.0,0.53
STS-LAS,STS,LAS,454.0,346,2,80.52,6.51,49.4,0.578
ABQ-AUS,ABQ,AUS,619.0,830,1,78.6,5.42,43.0,0.241
ABQ-BWI,ABQ,BWI,1670.0,400,1,84.44,0.72,22.0,1.0
ABQ-LAS,ABQ,LAS,486.0,1719,2,82.56,2.45,32.0,0.291
ABQ-SAN,ABQ,SAN,628.0,684,1,79.82,3.19,37.0,0.439
ALB-MCO,ALB,MCO,1073.0,1040,2,78.36,4.67,39.0,0.962
ALB-MDW,ALB,MDW,717.0,728,1,81.37,3.98,32.7,1.511
ATL-BNA,ATL,BNA,214.0,4268,2,80.41,6.3,39.0,1.687
ATL-DEN,ATL,DEN,1199.0,5595,4,78.23,6.28,42.5,1.09
ATL-HOU,ATL,HOU,696.0,2879,2,80.52,3.79,34.7,1.32
ATL-MCI,ATL,MCI,692.0,3272,5,82.81,5.18,34.0,1.161
ATL-MSY,ATL,MSY,425.0,4025,5,81.16,4.49,36.0,1.491
ATL-STL,ATL,STL,484.0,3685,3,82.03,3.62,34.0,1.52
AUS-BOS,AUS,BOS,1698.0,1673,3,65.13,23.11,81.0,2.451
AUS-BUR,AUS,BUR,1241.0,346,1,65.99,12.91,50.1,0.289
AUS-BWI,AUS,BWI,1342.0,1287,1,76.84,5.76,37.0,1.554
AUS-LGB,AUS,LGB,1226.0,428,1,68.22,9.26,42.3,0.0
AUS-MCI,AUS,MCI,650.0,981,2,74.69,11.45,50.0,0.408
AUS-OKC,AUS,OKC,358.0,318,1,77.6,6.13,38.4,0.0
AUS-PHX,AUS,PHX,872.0,3388,5,78.91,9.11,45.0,0.767
AUS-RDU,AUS,RDU,1162.0,521,1,73.55,9.18,45.0,0.576
AUS-SMF,AUS,SMF,1481.0,385,1,72.4,10.58,43.0,0.26
AUS-STL,AUS,STL,721.0,973,1,77.53,6.0,34.0,0.103
AUS-TPA,AUS,TPA,928.0,1532,3,75.66,8.7,47.2,0.587
BDL-BNA,BDL,BNA,852.0,390,2,84.97,-0.63,22.0,1.026
BDL-DEN,BDL,DEN,1671.0,890,2,83.87,0.69,27.0,1.011
BDL-TPA,BDL,TPA,1111.0,682,2,75.45,6.51,42.0,1.613
BHM-BNA,BHM,BNA,177.0,515,1,74.71,8.45,39.0,0.971
BHM-BWI,BHM,BWI,682.0,337,1,81.38,5.76,33.8,1.187
BNA-ALB,BNA,ALB,825.0,436,2,82.3,-1.41,29.6,0.229
BNA-BDL,BNA,BDL,852.0,391,2,79.79,2.56,28.5,1.023
BNA-BOS,BNA,BOS,942.0,2935,6,68.7,15.13,65.0,2.044
BNA-BUF,BNA,BUF,633.0,370,1,75.41,7.58,36.0,0.811
BNA-GSP,BNA,GSP,265.0,668,1,70.69,12.88,54.0,0.749
BNA-MCO,BNA,MCO,616.0,3510,4,74.25,8.6,49.0,1.567
BNA-MSP,BNA,MSP,695.0,1745,2,82.05,0.91,29.0,1.605
BNA-ONT,BNA,ONT,1751.0,336,1,68.96,8.98,41.6,0.298
BNA-RDU,BNA,RDU,442.0,2214,2,75.96,8.18,40.4,1.852
BOI-OAK,BOI,OAK,512.0,554,1,83.94,1.12,26.0,0.0
BOS-MDW,BOS,MDW,861.0,1361,1,72.21,11.06,57.0,1.91
BOS-STL,BOS,STL,1047.0,1612,3,76.19,6.36,50.0,1.551
BUF-LAS,BUF,LAS,1986.0,302,1,81.94,-1.3,28.0,0.662
BUR-AUS,BUR,AUS,1241.0,346,1,80.81,3.48,32.7,0.0
BUR-BNA,BUR,BNA,1791.0,329,1,81.54,5.58,34.6,0.912
BUR-SMF,BUR,SMF,358.0,2609,1,86.36,-3.21,25.0,1.648
BWI-ALB,BWI,ALB,288.0,1760,1,81.43,3.01,30.0,1.705
BWI-CMH,BWI,CMH,337.0,1056,1,79.67,6.32,42.3,1.515
BWI-DEN,BWI,DEN,1491.0,2814,3,77.12,5.54,38.0,1.173
BWI-GSP,BWI,GSP,426.0,720,1,81.66,4.62,38.2,1.528
BWI-IND,BWI,IND,516.0,1219,1,77.49,6.48,37.0,1.231
BWI-MDW,BWI,MDW,611.0,1838,2,76.02,8.7,47.6,2.176
BWI-MHT,BWI,MHT,377.0,1744,1,84.16,1.09,29.0,1.089
BWI-MSP,BWI,MSP,936.0,1409,2,79.8,5.78,35.0,1.845
BWI-MYR,BWI,MYR,399.0,1038,1,80.18,4.68,39.7,1.349
BWI-PVD,BWI,PVD,327.0,1867,1,80.33,3.21,31.0,2.089
BWI-PWM,BWI,PWM,452.0,1342,1,80.8,2.79,30.0,1.416
BWI-SFO,BWI,SFO,2457.0,1054,2,69.64,8.47,52.0,0.854
BWI-SJU,BWI,SJU,1565.0,1162,3,66.93,18.71,62.0,2.41
BZN-LAS,BZN,LAS,701.0,598,2,83.22,2.03,35.0,0.334
CHS-BNA,CHS,BNA,439.0,986,1,78.02,5.79,36.0,0.609
CLE-BNA,CLE,BNA,448.0,1040,3,84.37,0.11,25.0,0.769
CLE-DEN,CLE,DEN,1201.0,1839,3,82.29,2.21,36.0,0.544
