route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct
BHM-DCA,BHM,DCA,653.0,1043,2,75.83,19.25,61.0,4.698
DCA-TLH,DCA,TLH,716.0,365,1,63.1,25.97,117.5,7.123
BUF-DCA,BUF,DCA,296.0,1134,4,65.74,31.39,95.8,4.938
BTR-DFW,BTR,DFW,383.0,2081,3,79.06,15.73,70.0,3.556
PHL-RDU,PHL,RDU,337.0,2602,4,74.8,11.25,66.0,2.69
ORF-PHL,ORF,PHL,212.0,830,2,77.75,16.1,70.6,2.53
CVG-PHL,CVG,PHL,507.0,1258,3,80.51,10.38,59.5,3.18
DCA-PIT,DCA,PIT,204.0,1431,4,74.51,8.75,52.8,3.983
CLT-BTV,CLT,BTV,761.0,645,2,75.68,13.2,50.8,2.791
CLT-IAD,CLT,IAD,322.0,1990,4,80.13,5.23,45.0,2.563
TLH-DFW,TLH,DFW,767.0,1079,2,77.22,15.77,83.4,4.171
DCA-GSO,DCA,GSO,248.0,795,3,74.31,9.58,68.2,4.403
DFW-TYS,DFW,TYS,772.0,1739,4,71.68,14.06,69.0,3.393
CLT-XNA,CLT,XNA,754.0,1461,3,81.45,4.5,38.0,1.848
DCA-BTV,DCA,BTV,437.0,1144,4,68.17,17.7,71.0,4.72
CLT-SDF,CLT,SDF,335.0,1757,3,76.53,11.46,55.0,2.163
SAV-DCA,SAV,DCA,519.0,1105,4,78.0,13.97,60.1,4.434
CRW-DCA,CRW,DCA,249.0,341,1,78.14,12.96,64.0,8.798
CLT-ABE,CLT,ABE,481.0,856,1,76.61,6.86,57.2,3.388
CLT-MKE,CLT,MKE,651.0,959,2,74.92,10.52,47.0,1.46
TLH-DCA,TLH,DCA,716.0,365,1,82.47,5.38,35.0,4.384
PHL-DAY,PHL,DAY,477.0,359,1,72.86,10.52,71.4,5.571
PHL-IAH,PHL,IAH,1325.0,1847,6,80.91,2.35,42.0,1.895
DCA-SAV,DCA,SAV,519.0,1105,4,69.21,17.16,95.2,4.706
CRW-CLT,CRW,CLT,221.0,1142,1,79.04,6.45,45.9,3.415
CLT-HPN,CLT,HPN,564.0,1338,1,73.66,12.42,69.0,2.915
DCA-BGR,DCA,BGR,590.0,1116,4,68.4,16.07,71.0,6.631
PHL-SAV,PHL,SAV,630.0,984,4,75.6,10.06,70.0,2.846
CLT-PIA,CLT,PIA,607.0,717,1,75.11,11.59,53.0,3.208
PIA-CLT,PIA,CLT,607.0,718,1,77.94,10.64,65.4,3.9
RDU-PHL,RDU,PHL,337.0,2604,4,74.05,15.34,66.8,3.379
MKE-PHL,MKE,PHL,690.0,502,3,79.92,8.45,59.6,5.777
SDF-DCA,SDF,DCA,474.0,1029,4,78.86,9.59,45.7,4.179
DCA-TYS,DCA,TYS,437.0,1021,3,67.79,23.98,94.0,3.722
LEX-CLT,LEX,CLT,281.0,1380,1,83.49,1.39,44.0,1.957
BTV-DCA,BTV,DCA,437.0,1143,4,65.66,30.1,91.4,4.287
DCA-BUF,DCA,BUF,296.0,1134,4,64.29,23.03,79.0,4.85
PHL-JAX,PHL,JAX,742.0,1564,4,76.25,8.94,61.0,2.366
JAN-CLT,JAN,CLT,562.0,327,1,84.91,4.91,37.3,2.752
BTR-DCA,BTR,DCA,985.0,308,2,85.32,6.77,31.8,4.545
SBN-CLT,SBN,CLT,534.0,1026,1,79.62,8.99,52.0,3.119
CLT-MSN,CLT,MSN,708.0,1012,2,77.91,7.08,48.5,1.186
CLT-OKC,CLT,OKC,940.0,811,3,78.84,4.31,45.7,1.726
ORF-DCA,ORF,DCA,142.0,1040,3,66.1,30.11,98.5,3.269
MEM-CLT,MEM,CLT,511.0,1742,2,82.92,3.15,37.0,2.067
DCA-PHL,DCA,PHL,120.0,790,2,64.11,21.0,87.6,2.658
MHT-CLT,MHT,CLT,738.0,918,1,79.07,10.07,49.4,3.813
GSO-CLT,GSO,CLT,84.0,1191,3,84.5,-0.06,28.0,1.427
BTR-CLT,BTR,CLT,675.0,766,3,80.4,11.01,51.1,2.089
PNS-DCA,PNS,DCA,816.0,1073,3,71.92,27.95,76.9,4.567
CLT-PWM,CLT,PWM,813.0,708,2,75.9,12.27,56.2,1.271
DSM-DCA,DSM,DCA,897.0,702,3,77.88,10.98,56.1,5.271
DCA-CAK,DCA,CAK,274.0,324,1,57.88,38.06,143.0,4.012
CLT-MYR,CLT,MYR,157.0,2257,3,77.16,9.06,52.0,1.861
DFW-BHM,DFW,BHM,597.0,2199,4,74.4,15.6,65.8,2.819
JAN-DCA,JAN,DCA,860.0,301,2,89.86,0.41,15.0,4.651
PWM-DCA,PWM,DCA,482.0,1159,3,74.59,19.77,64.0,3.71
CLT-PNS,CLT,PNS,488.0,1886,3,76.1,9.71,57.0,1.856
