route,origin,dest,distance_mi,scheduled_flights,carriers,on_time_pct,avg_arr_delay_min,p90_arr_delay_min,cancellation_rate_pct,log_flights,segment_id,segment,pc1,pc2
MDT-ORD,MDT,ORD,594.0,2131,5,75.37,14.46,60.0,3.144,3.328583449714202,0,"Trunk route - multi-carrier, unreliable",1.9529967262933736,1.5508308430053166
RDD-SFO,RDD,SFO,199.0,878,1,70.53,26.56,100.0,1.822,2.9434945159061026,1,"Thin route - long delay tail, high average delay",3.233253519149827,-1.681295315744545
ORD-GEG,ORD,GEG,1498.0,714,3,65.09,19.63,72.0,1.541,2.8536982117761744,1,"Thin route - long delay tail, high average delay",2.425224771393471,-0.7724837607327063
ABQ-DEN,ABQ,DEN,349.0,3200,3,83.02,3.41,33.7,0.594,3.505149978319906,2,"Thin route - reliable, short delay tail",-0.8440245913742424,1.5976475368928384
BGR-ORD,BGR,ORD,978.0,697,5,78.1,15.46,57.6,1.722,2.8432327780980096,0,"Trunk route - multi-carrier, unreliable",1.164840498597512,0.6164917469043074
DEN-SUN,DEN,SUN,557.0,630,1,81.35,5.24,44.9,0.0,2.7993405494535817,2,"Thin route - reliable, short delay tail",-1.0312005378007167,-0.9438462740191519
SBA-SFO,SBA,SFO,262.0,1640,2,62.51,21.51,75.0,1.159,3.214843848047698,1,"Thin route - long delay tail, high average delay",2.939085698651754,-0.5062722366061493
ORD-JAX,ORD,JAX,864.0,2116,6,73.87,12.66,63.0,1.371,3.325515663363148,0,"Trunk route - multi-carrier, unreliable",1.7158754529546936,2.0456475141587234
BIL-ORD,BIL,ORD,1060.0,317,2,80.71,13.1,35.0,0.315,2.5010592622177517,2,"Thin route - reliable, short delay tail",-0.6946859406426383,-1.2324070144259227
DEN-PIA,DEN,PIA,793.0,432,2,66.67,16.93,66.5,1.157,2.635483746814912,1,"Thin route - long delay tail, high average delay",1.7699331457649066,-1.5075781048255594
SFO-EUG,SFO,EUG,451.0,994,2,75.73,9.85,59.4,0.503,2.997386384397313,2,"Thin route - reliable, short delay tail",0.4512116433879505,-0.3619380486536065
TYS-DEN,TYS,DEN,1162.0,1001,5,84.69,-0.13,39.0,0.5,3.000434077479319,0,"Trunk route - multi-carrier, unreliable",-1.1371127906772878,1.5259191595792814
FCA-ORD,FCA,ORD,1352.0,532,4,69.62,21.33,70.0,0.94,2.7259116322950483,1,"Thin route - long delay tail, high average delay",2.1141437447402014,-0.46477763886708756
LAX-SLC,LAX,SLC,590.0,4189,6,87.55,-0.55,23.0,0.477,3.6221103603612197,0,"Trunk route - multi-carrier, unreliable",-1.334083435225832,3.4906302202255763
DEN-HOB,DEN,HOB,501.0,364,1,75.84,17.15,87.5,1.648,2.561101383649056,1,"Thin route - long delay tail, high average delay",1.618190536318945,-2.1090785585170377
MCI-DEN,MCI,DEN,533.0,4327,4,77.45,8.55,42.0,0.508,3.6361868951987244,0,"Trunk route - multi-carrier, unreliable",0.29802845659818644,2.0693711628259894
IAH-LFT,IAH,LFT,201.0,313,1,76.87,22.86,61.4,1.917,2.4955443375464483,1,"Thin route - long delay tail, high average delay",1.3192532555853338,-2.1503293697775976
OMA-DEN,OMA,DEN,472.0,3307,4,76.37,8.47,49.0,0.423,3.519434194913703,0,"Trunk route - multi-carrier, unreliable",0.5046873412816806,1.7729199571361438
MSP-SFO,MSP,SFO,1589.0,1914,3,68.81,10.54,58.0,0.679,3.281941933440825,0,"Trunk route - multi-carrier, unreliable",1.1104733414302677,0.4714793787176056
EUG-SFO,EUG,SFO,451.0,994,2,67.99,18.18,73.0,1.006,2.997386384397313,1,"Thin route - long delay tail, high average delay",2.086686730339082,-0.7803947000918018
ORD-BZN,ORD,BZN,1185.0,1268,4,69.06,15.25,69.0,0.789,3.1031192535457137,0,"Trunk route - multi-carrier, unreliable",1.8613920410651417,0.44634714372543294
ORD-BWI,ORD,BWI,622.0,2691,8,72.55,12.55,60.0,2.601,3.4299136977637543,0,"Trunk route - multi-carrier, unreliable",2.380876083232304,3.194689030042924
SAF-PHX,SAF,PHX,370.0,516,1,76.47,10.51,54.0,0.581,2.7126497016272113,2,"Thin route - reliable, short delay tail",0.07140713673903941,-1.3822442171030345
HOU-DFW,HOU,DFW,247.0,2001,3,77.64,14.24,60.0,4.148,3.3012470886362113,0,"Trunk route - multi-carrier, unreliable",1.7531588437411985,0.5811613642199496
