route,origin_airport,dest_airport,completed_flights,mean_delay_prob,observed_delay_rate,mean_p90_min,mean_cancel_prob
DFW-LGA,DFW,LGA,979,0.30684236997207653,0.42288049029622066,76.23240573754471,0.021423180584146773
ORD-SEA,ORD,SEA,1168,0.30677188286073,0.3381849315068493,61.61034018209536,0.007410763008833057
DFW-BOS,DFW,BOS,635,0.30674005600176457,0.4094488188976378,73.22347498916265,0.015554370225739998
DFW-AVL,DFW,AVL,117,0.3065443952114154,0.4017094017094017,72.21880420456584,0.008658190153939418
ORD-OKC,ORD,OKC,465,0.30644090383924466,0.2752688172043011,64.0043106981503,0.010781816412339506
ORD-CHO,ORD,CHO,176,0.30635318100791087,0.2727272727272727,80.65093595331365,0.015362433085425033
SYR-DCA,SYR,DCA,157,0.30634774353094163,0.4140127388535032,75.67169581856697,0.015097609394626028
ORD-ALO,ORD,ALO,93,0.30538809379582765,0.3118279569892473,72.44405016335108,0.012939205606068883
BOS-PBI,BOS,PBI,232,0.30520450953265715,0.3232758620689655,74.11291548301433,0.011222900018604645
TPA-SAN,TPA,SAN,121,0.30480764559970414,0.32231404958677684,54.53025291379818,0.0054968892669183065
DFW-FLL,DFW,FLL,558,0.30470329669961793,0.4229390681003584,65.31972340272746,0.012104301628520867
DCA-GRR,DCA,GRR,115,0.3045942114747089,0.4782608695652174,74.09502281520678,0.015494457511462209
MHT-DCA,MHT,DCA,158,0.3043596238086495,0.35443037974683544,73.49634911742392,0.02285722473902362
DFW-DSM,DFW,DSM,231,0.30428103854258853,0.4329004329004329,72.79136809229335,0.015636987520467535
FLL-RIC,FLL,RIC,111,0.30411062812482986,0.2972972972972973,65.36898482382834,0.01283222632077725
MIA-PIT,MIA,PIT,130,0.3041082381055905,0.3,54.48033774449275,0.006676743648803005
MYR-DCA,MYR,DCA,121,0.3040603572918364,0.3140495867768595,61.731963275877895,0.016515153190611226
RDU-DCA,RDU,DCA,292,0.30399120346426145,0.4349315068493151,67.65509690977123,0.016595008531104107
DFW-TPA,DFW,TPA,513,0.303907080410052,0.4873294346978557,66.46738589995088,0.011582320811633105
FLL-BNA,FLL,BNA,331,0.30354756792146276,0.47129909365558914,59.93256953835848,0.007180904092032964
ORD-RST,ORD,RST,169,0.3033556972558682,0.378698224852071,67.17202042122564,0.013066724518436816
MKE-ORD,MKE,ORD,840,0.3032727739285855,0.2773809523809524,78.42453297206333,0.014583309356585689
DCA-CLE,DCA,CLE,234,0.303093093741908,0.3974358974358974,69.78368236672165,0.017450580762900052
TVC-ORD,TVC,ORD,608,0.30288917865408094,0.20888157894736842,68.28045233613567,0.01742610973991858
ORD-ICT,ORD,ICT,343,0.3028233500941502,0.30612244897959184,77.98472065828284,0.008379349448414666
DEN-BUF,DEN,BUF,134,0.3025661744733355,0.44029850746268656,56.559411604013015,0.005411861283676838
ORD-DEC,ORD,DEC,100,0.3024167761206627,0.25,80.22144184112548,0.014783561034571556
ORD-FAR,ORD,FAR,326,0.3023304521488997,0.2361963190184049,88.0800805706188,0.00814032565723364
BTV-ORD,BTV,ORD,233,0.3021137833978997,0.31759656652360513,60.73693425256295,0.007751739435396138
TYS-SFB,TYS,SFB,104,0.3016172838039123,0.5673076923076923,66.4787540435791,0.0050855183441084455
FNT-ORD,FNT,ORD,231,0.3014739058363489,0.30735930735930733,71.30058382703112,0.01224106184939747
DFW-JAC,DFW,JAC,193,0.3007713338562862,0.44041450777202074,65.1990841188579,0.009408013144921925
DFW-BUR,DFW,BUR,118,0.29992977529764175,0.3813559322033898,68.05156245474087,0.013163186794470164
GRR-ORD,GRR,ORD,579,0.2999034761250122,0.25215889464594127,63.61769447260776,0.009813083363557929
DFW-JAX,DFW,JAX,350,0.2998142692659582,0.4542857142857143,67.14817813328334,0.01220368385669976
DFW-RIC,DFW,RIC,175,0.299222810949598,0.4057142857142857,67.01008946010045,0.01608949939513372
FSD-ORD,FSD,ORD,226,0.2991916375745714,0.2610619469026549,85.40720764936599,0.020748648216154
MCO-BDL,MCO,BDL,275,0.29917719675735993,0.28,58.660235054709695,0.009904464563434393
FLL-DCA,FLL,DCA,336,0.29902224575302433,0.35119047619047616,73.27809328124637,0.010251633655757476
ORD-CLE,ORD,CLE,744,0.29901452991430477,0.2903225806451613,68.86315654170129,0.009302073146116531
MIA-ORD,MIA,ORD,646,0.29866022670831843,0.34829721362229105,59.48589958568844,0.008872441727834851
DEN-ALB,DEN,ALB,118,0.29857395968194733,0.2711864406779661,58.03778334795418,0.004935352873260609
DFW-SAT,DFW,SAT,732,0.29833808169786724,0.4180327868852459,63.53993461561985,0.01109971796189457
JAX-SJU,JAX,SJU,119,0.29827389960028544,0.31932773109243695,76.29504343241203,0.013537725322102467
FLL-AVL,FLL,AVL,133,0.29825281222960104,0.46616541353383456,74.09173943225602,0.00432342749763169
