flight_id,date_key,carrier_code,origin_airport,route,delay_prob,delay_pred,delay_p50,delay_p90,cancel_prob,arr_del15,cancelled
9749570565006097292,20260601,MQ,CMH,CMH-BOS,0.29965156,1,-7.3333254,63.682537,0.014370134,0,0
5427542961368043192,20260601,OO,ORD,ORD-BDL,0.331201,1,3.4800808,74.85304,0.01583483,0,0
450595539218317535,20260601,AA,ORD,ORD-LGA,0.38794616,1,3.689111,101.35835,0.018747376,0,0
1671713714893824979,20260601,OO,CHO,CHO-ORD,0.38794616,1,11.562795,120.719795,0.02725818,0,0
1727881811538558761,20260601,OO,BOI,BOI-SEA,0.14316992,0,-11.426767,15.887906,0.004936885,0,0
16621914294514797929,20260601,WN,MCO,MCO-BWI,0.2730834,1,-0.35970914,35.20578,0.010568852,1,0
13113478216426417622,20260601,OO,MOT,MOT-DEN,0.2226762,1,-8.271087,80.178474,0.008857019,1,0
12784651788717001177,20260601,B6,FLL,FLL-ATL,0.38794616,1,10.637424,96.31586,0.017366067,0,0
11706944821794701084,20260601,OO,LAX,LAX-LAS,0.17293233,0,-7.5296273,51.855583,0.0068020634,0,0
3760437856437360828,20260601,UA,EWR,EWR-STL,0.21033211,1,-11.97048,48.556866,0.0104078185,0,0
10081799688303731743,20260601,UA,CLE,CLE-EWR,0.07552722,0,-11.553928,17.292032,0.0106207,0,0
12377100204757479389,20260601,UA,ORD,ORD-SFO,0.31195533,1,1.7039524,70.13627,0.007949176,0,0
9953706712875605179,20260601,WN,GSP,GSP-BNA,0.23073286,1,-0.55801755,47.04173,0.009946768,1,0
16853241991101787526,20260601,DL,ORD,ORD-LGA,0.41967213,1,4.9871507,102.26772,0.036755014,0,0
16208352897338985955,20260601,OH,DTW,DTW-DCA,0.23116963,1,-3.5145383,47.33205,0.03339187,0,0
12581787309418349718,20260601,DL,DAL,DAL-ATL,0.089354955,0,-10.159226,16.639982,0.014566133,0,0
16882217318614829548,20260601,WN,MCO,MCO-HOU,0.054302808,0,-11.812265,11.766501,0.007168058,0,0
7257483240827082380,20260601,OO,ORD,ORD-TUL,0.1868743,0,-4.6987085,58.493927,0.008750629,0,0
687081423101221168,20260601,DL,RDU,RDU-ATL,0.054302808,0,-11.943425,9.474559,0.010099056,0,0
6315579552358022293,20260601,MQ,DFW,DFW-GSO,0.16029368,0,-5.0692515,36.3001,0.013572524,0,0
15539795176399909355,20260601,DL,ATL,ATL-SEA,0.29376957,1,2.726005,40.85864,0.0094877845,0,0
7932924254235733547,20260601,WN,LAX,LAX-SLC,0.11854199,0,-6.6172466,27.172318,0.0046740635,0,0
11437068075831689315,20260601,OO,EUG,EUG-PDX,0.089354955,0,-9.353834,25.920135,0.009573942,0,0
2334005424329060720,20260601,YX,LGA,LGA-TUL,0.31195533,1,-6.5402856,61.598793,0.021768698,0,0
4353999281647630113,20260601,UA,BNA,BNA-ORD,0.17293233,0,-3.765655,29.199945,0.008142095,1,0
3251331881161116241,20260601,OO,CLD,CLD-SFO,0.23116963,1,-4.4920583,53.813725,0.0072348393,1,0
8528506996510098491,20260601,F9,DEN,DEN-IND,0.22709952,1,-4.9515314,51.817772,0.0062913303,1,0
7330766250850562780,20260601,DL,CLE,CLE-ATL,0.14197148,0,-5.620993,39.979607,0.010957347,0,0
7419054187785491461,20260601,AA,BOS,BOS-PHL,0.18518518,0,-6.301134,55.91849,0.014152812,0,0
12638996655054850616,20260601,AA,MIA,MIA-PHX,0.24328545,1,-3.6923394,60.162262,0.007402442,0,0
1775780935185025144,20260601,OH,CLT,CLT-ABE,0.2730834,1,-6.0145516,29.940722,0.019193316,0,0
12019488461581369867,20260601,DL,MSY,MSY-LAX,0.06797116,0,-10.964499,11.101711,0.0068255025,0,0
13955390582305332192,20260601,WN,LAS,LAS-HOU,0.26141426,1,-0.46565256,44.34464,0.0050473223,1,0
3421202345670697721,20260601,YX,ORD,ORD-SDF,0.24328545,1,-3.7940197,60.33139,0.017187933,1,0
14332704980107898151,20260601,MQ,DFW,DFW-CRP,0.22216624,1,-5.7988615,21.441065,0.010811328,0,0
8856732314263652559,20260601,AA,JFK,JFK-CLT,0.14316992,0,-12.551576,39.836647,0.009848747,0,0
8265229936329073115,20260601,UA,IAH,IAH-PHL,0.18825832,0,-5.9002247,37.104496,0.010243244,0,0
5167925869664338286,20260601,WN,PHX,PHX-HOU,0.3832008,1,8.356273,70.7622,0.006142257,0,0
10047273297731361498,20260601,AA,SAN,SAN-DFW,0.24328545,1,-7.482746,47.600594,0.018900137,1,0
7848584364229693078,20260601,DL,SLC,SLC-SMF,0.14197148,0,-9.21146,19.249065,0.006193619,0,0
1038277206271124623,20260601,DL,IND,IND-ATL,0.14197148,0,-14.909518,30.457214,0.010399557,0,0
13610418816560591224,20260601,OH,DCA,DCA-STL,0.31195533,1,-3.7983513,72.68496,0.016058058,0,0
2674025669069040432,20260601,WN,DEN,DEN-BHM,0.3832008,1,6.2619915,48.361874,0.004126818,1,0
14272843754793657108,20260601,G4,BNA,BNA-ALB,0.16029368,0,-9.483567,31.443916,0.004404623,1,0
5883383693816885237,20260601,AS,ITO,ITO-HNL,,,,,0.011262461,,1
11027855663386512972,20260601,DL,ATL,ATL-BWI,0.27479208,1,2.5634835,37.277252,0.013840539,0,0
18013783461171179004,20260601,UA,OMA,OMA-ORD,0.31195533,1,4.1789923,61.10516,0.012065454,1,0
2479077565445282785,20260601,DL,STL,STL-DTW,0.16029368,0,-8.873772,38.97619,0.009855138,0,0
12722002479748046555,20260601,WN,MCI,MCI-MDW,0.06308771,0,-7.6846614,12.163541,0.007325903,1,0
8088172204468091498,20260601,WN,RIC,RIC-DEN,0.43522388,1,9.473929,77.47835,0.007733882,1,0
11647863861140491875,20260601,OO,ORD,ORD-TUL,0.22709952,1,-6.874876,53.562534,0.0072348905,0,0
5882746868403018727,20260601,AA,SNA,SNA-DFW,0.24328545,1,-6.0327787,55.290348,0.015606948,0,0
146572856625007046,20260601,OO,SLC,SLC-PHX,0.16029368,0,-8.512003,37.473648,0.006092439,0,0
8193313366160799094,20260601,OO,GRR,GRR-MSP,0.27911416,1,-5.3668213,54.718452,0.009873196,0,0
5303542163790454848,20260601,DL,DTW,DTW-BWI,0.07552722,0,-8.2084255,18.074213,0.010804833,0,0
1848107524484568131,20260601,OH,CLT,CLT-BTV,0.18339327,0,-5.2496614,45.13159,0.012472294,0,0
13625193199422802713,20260601,G4,OMA,OMA-LAS,0.16029368,0,-11.536264,20.606226,0.0044423775,0,0
2079128479516592251,20260601,WN,PDX,PDX-PHX,0.34537968,1,6.478154,44.512726,0.0063878726,0,0
7960172105398817562,20260601,OO,LAX,LAX-JAC,0.17293233,0,-8.247795,33.90128,0.008132256,0,0
18085934051603651274,20260601,UA,SFO,SFO-PDX,0.14316992,0,-9.133528,27.626503,0.007506368,1,0
12220605419524828142,20260601,DL,LEX,LEX-ATL,0.089354955,0,-14.000369,16.445858,0.012378758,0,0
16323533952590201062,20260601,G4,SRQ,SRQ-IND,0.09590444,0,-10.298468,25.695658,0.006075145,0,0
15552717528969764816,20260601,YX,LGA,LGA-BOS,0.14316992,0,-10.027896,34.41738,0.031417407,0,0
2750388847829408251,20260601,AS,PDX,PDX-BNA,0.22709952,1,-4.234039,33.87461,0.009278143,0,0
2462818728620111788,20260601,OO,AUS,AUS-MSY,0.14316992,0,-11.07504,44.21699,0.005490916,1,0
9117309200663804902,20260601,WN,CMH,CMH-TPA,0.34537968,1,-0.86396396,48.964565,0.009922996,0,0
3380337115421980004,20260601,AS,ATL,ATL-SEA,0.16029368,0,-5.7393284,20.465263,0.0066222358,0,0
3604135874025953118,20260601,B6,SFO,SFO-BOS,0.26141426,1,-4.7380056,58.016407,0.012597599,0,0
