route,origin,dest,distance_mi,scheduled_flights,route_segment
LAS-MSY,LAS,MSY,1500.0,837,"Thin route - long-haul, rarely cancels"
LAS-OAK,LAS,OAK,407.0,3258,"Trunk route - multi-carrier, unreliable"
LAS-OGG,LAS,OGG,2695.0,735,"Thin route - long-haul, rarely cancels"
LAS-OKC,LAS,OKC,986.0,1226,"Trunk route - multi-carrier, unreliable"
LAS-OMA,LAS,OMA,1099.0,1127,"Thin route - reliable, short delay tail"
LAS-ONT,LAS,ONT,197.0,2476,"Trunk route - multi-carrier, unreliable"
LAS-ORD,LAS,ORD,1514.0,5237,"Trunk route - multi-carrier, unreliable"
LAS-PAE,LAS,PAE,894.0,450,"Thin route - reliable, short delay tail"
LAS-PDX,LAS,PDX,763.0,2956,"Trunk route - multi-carrier, unreliable"
LAS-PHL,LAS,PHL,2177.0,1488,"Thin route - long-haul, rarely cancels"
LAS-PHX,LAS,PHX,255.0,6018,"Trunk route - multi-carrier, unreliable"
LAS-PIA,LAS,PIA,1413.0,116,
LAS-PIT,LAS,PIT,1910.0,717,"Thin route - long-haul, rarely cancels"
LAS-PSC,LAS,PSC,732.0,124,
LAS-PSP,LAS,PSP,173.0,744,"Thin route - reliable, short delay tail"
LAS-RAP,LAS,RAP,843.0,111,
LAS-RDU,LAS,RDU,2026.0,611,"Thin route - long-haul, rarely cancels"
LAS-RFD,LAS,RFD,1455.0,104,
LAS-RNO,LAS,RNO,345.0,4102,"Trunk route - multi-carrier, unreliable"
LAS-ROC,LAS,ROC,2040.0,149,
LAS-SAN,LAS,SAN,258.0,5631,"Trunk route - multi-carrier, unreliable"
LAS-SAT,LAS,SAT,1069.0,2024,"Trunk route - multi-carrier, unreliable"
LAS-SBA,LAS,SBA,289.0,885,"Thin route - reliable, short delay tail"
LAS-SBN,LAS,SBN,1594.0,104,
LAS-SBP,LAS,SBP,314.0,117,
LAS-SCK,LAS,SCK,359.0,398,"Thin route - reliable, short delay tail"
LAS-SDF,LAS,SDF,1624.0,399,"Thin route - long delay tail, high average delay"
LAS-SEA,LAS,SEA,867.0,5619,"Trunk route - multi-carrier, unreliable"
LAS-SFB,LAS,SFB,2034.0,22,
LAS-SFO,LAS,SFO,414.0,6115,"Trunk route - multi-carrier, unreliable"
LAS-SGF,LAS,SGF,1209.0,124,
LAS-SHV,LAS,SHV,1243.0,107,
LAS-SJC,LAS,SJC,386.0,3779,"Trunk route - multi-carrier, unreliable"
LAS-SLC,LAS,SLC,368.0,3744,"Trunk route - multi-carrier, unreliable"
LAS-SMF,LAS,SMF,397.0,4123,"Trunk route - multi-carrier, unreliable"
LAS-SMX,LAS,SMX,310.0,104,
LAS-SNA,LAS,SNA,226.0,4150,"Trunk route - multi-carrier, unreliable"
LAS-STL,LAS,STL,1371.0,2101,"Thin route - long-haul, rarely cancels"
LAS-STS,LAS,STS,454.0,346,"Thin route - reliable, short delay tail"
LAS-TPA,LAS,TPA,1984.0,1031,"Thin route - long-haul, rarely cancels"
LAS-TUL,LAS,TUL,1076.0,742,"Thin route - reliable, short delay tail"
LAS-TUS,LAS,TUS,364.0,1336,"Thin route - reliable, short delay tail"
LAS-TYS,LAS,TYS,1739.0,118,
LAS-VPS,LAS,VPS,1695.0,25,
LAS-XNA,LAS,XNA,1163.0,112,
LAW-DFW,LAW,DFW,140.0,1072,"Thin route - long delay tail, high average delay"
LAX-ABQ,LAX,ABQ,677.0,2219,"Thin route - reliable, short delay tail"
LAX-ACV,LAX,ACV,577.0,422,"Thin route - reliable, short delay tail"
LAX-AGS,LAX,AGS,2090.0,1,
LAX-ANC,LAX,ANC,2345.0,389,"Thin route - long-haul, rarely cancels"
LAX-ASE,LAX,ASE,737.0,1234,"Thin route - long delay tail, high average delay"
LAX-ATL,LAX,ATL,1947.0,4938,"Trunk route - multi-carrier, unreliable"
LAX-AUS,LAX,AUS,1242.0,4077,"Trunk route - multi-carrier, unreliable"
LAX-BHM,LAX,BHM,1815.0,3,
LAX-BLI,LAX,BLI,1047.0,45,
LAX-BNA,LAX,BNA,1798.0,2320,"Thin route - long-haul, rarely cancels"
LAX-BOI,LAX,BOI,674.0,1375,"Thin route - reliable, short delay tail"
LAX-BOS,LAX,BOS,2611.0,4761,"Trunk route - multi-carrier, unreliable"
LAX-BUF,LAX,BUF,2218.0,137,
LAX-BWI,LAX,BWI,2329.0,1687,"Thin route - long-haul, rarely cancels"
LAX-BZN,LAX,BZN,902.0,542,"Thin route - reliable, short delay tail"
LAX-CID,LAX,CID,1550.0,5,
LAX-CLE,LAX,CLE,2052.0,759,"Thin route - long-haul, rarely cancels"
LAX-CLT,LAX,CLT,2125.0,2272,"Thin route - long-haul, rarely cancels"
LAX-CMH,LAX,CMH,1995.0,463,"Thin route - long-haul, rarely cancels"
LAX-CVG,LAX,CVG,1900.0,354,"Thin route - long-haul, rarely cancels"
LAX-DAL,LAX,DAL,1246.0,1471,"Thin route - long delay tail, high average delay"
LAX-DCA,LAX,DCA,2311.0,1454,"Thin route - long-haul, rarely cancels"
LAX-DEN,LAX,DEN,862.0,7708,"Trunk route - multi-carrier, unreliable"
LAX-DFW,LAX,DFW,1235.0,6225,"Trunk route - multi-carrier, unreliable"
LAX-DSM,LAX,DSM,1447.0,300,"Thin route - long-haul, rarely cancels"
LAX-DTW,LAX,DTW,1979.0,2451,"Thin route - long-haul, rarely cancels"
LAX-EGE,LAX,EGE,748.0,270,
LAX-ELP,LAX,ELP,715.0,1283,"Thin route - reliable, short delay tail"
LAX-EUG,LAX,EUG,748.0,400,"Thin route - reliable, short delay tail"
LAX-EWR,LAX,EWR,2454.0,4843,"Thin route - long-haul, rarely cancels"
LAX-FAT,LAX,FAT,209.0,979,"Thin route - reliable, short delay tail"
LAX-FCA,LAX,FCA,1015.0,141,
LAX-FLL,LAX,FLL,2343.0,2298,"Thin route - long-haul, rarely cancels"
LAX-FSD,LAX,FSD,1340.0,4,
LAX-GEG,LAX,GEG,945.0,877,"Thin route - reliable, short delay tail"
LAX-GRR,LAX,GRR,1874.0,4,
LAX-HDN,LAX,HDN,763.0,84,
LAX-HNL,LAX,HNL,2556.0,5514,"Trunk route - multi-carrier, unreliable"
LAX-HOU,LAX,HOU,1390.0,1194,"Thin route - long-haul, rarely cancels"
LAX-IAD,LAX,IAD,2288.0,2474,"Thin route - long-haul, rarely cancels"
LAX-IAH,LAX,IAH,1379.0,5216,"Trunk route - multi-carrier, unreliable"
LAX-ICT,LAX,ICT,1203.0,3,
LAX-IND,LAX,IND,1814.0,864,"Trunk route - multi-carrier, unreliable"
LAX-JAC,LAX,JAC,784.0,679,"Thin route - reliable, short delay tail"
LAX-JFK,LAX,JFK,2475.0,10284,"Trunk route - multi-carrier, unreliable"
LAX-KOA,LAX,KOA,2504.0,1607,"Thin route - long-haul, rarely cancels"
LAX-LAS,LAX,LAS,236.0,8239,"Trunk route - multi-carrier, unreliable"
LAX-LIH,LAX,LIH,2615.0,1578,"Thin route - long-haul, rarely cancels"
LAX-LIT,LAX,LIT,1494.0,3,
LAX-LNK,LAX,LNK,1279.0,1,
LAX-MCI,LAX,MCI,1363.0,1323,"Thin route - long-haul, rarely cancels"
LAX-MCO,LAX,MCO,2218.0,3554,"Trunk route - multi-carrier, unreliable"
LAX-MDT,LAX,MDT,2320.0,1,
LAX-MDW,LAX,MDW,1751.0,1298,"Thin route - long-haul, rarely cancels"
LAX-MEM,LAX,MEM,1619.0,256,
LAX-MFE,LAX,MFE,1319.0,5,
LAX-MFR,LAX,MFR,630.0,139,
LAX-MIA,LAX,MIA,2342.0,3255,"Thin route - long-haul, rarely cancels"
LAX-MKE,LAX,MKE,1756.0,9,
LAX-MRY,LAX,MRY,266.0,856,"Thin route - reliable, short delay tail"
LAX-MSN,LAX,MSN,1687.0,2,
LAX-MSO,LAX,MSO,923.0,166,
LAX-MSP,LAX,MSP,1535.0,2135,"Thin route - long-haul, rarely cancels"
LAX-MSY,LAX,MSY,1671.0,1459,"Thin route - long-haul, rarely cancels"
LAX-MTJ,LAX,MTJ,666.0,92,
LAX-OAK,LAX,OAK,337.0,2080,"Thin route - reliable, short delay tail"
LAX-OGG,LAX,OGG,2485.0,2148,"Thin route - long-haul, rarely cancels"
LAX-OKC,LAX,OKC,1187.0,929,"Thin route - reliable, short delay tail"
LAX-OMA,LAX,OMA,1330.0,590,"Thin route - long-haul, rarely cancels"
LAX-ORD,LAX,ORD,1744.0,7025,"Trunk route - multi-carrier, unreliable"
LAX-PAE,LAX,PAE,984.0,70,
LAX-PBI,LAX,PBI,2330.0,185,
LAX-PDX,LAX,PDX,833.0,4347,"Trunk route - multi-carrier, unreliable"
LAX-PHL,LAX,PHL,2402.0,2398,"Thin route - long-haul, rarely cancels"
LAX-PHX,LAX,PHX,370.0,7629,"Trunk route - multi-carrier, unreliable"
LAX-PIT,LAX,PIT,2136.0,425,"Thin route - long-haul, rarely cancels"
LAX-PRC,LAX,PRC,346.0,364,"Thin route - reliable, short delay tail"
LAX-PSC,LAX,PSC,851.0,360,"Thin route - reliable, short delay tail"
LAX-PSP,LAX,PSP,110.0,484,"Thin route - reliable, short delay tail"
LAX-PWM,LAX,PWM,2642.0,5,
LAX-RDD,LAX,RDD,501.0,334,"Thin route - reliable, short delay tail"
LAX-RDM,LAX,RDM,726.0,452,"Thin route - reliable, short delay tail"
LAX-RDU,LAX,RDU,2239.0,790,"Thin route - long-haul, rarely cancels"
LAX-RNO,LAX,RNO,390.0,2478,"Thin route - reliable, short delay tail"
LAX-RSW,LAX,RSW,2238.0,45,
LAX-SAF,LAX,SAF,710.0,298,
LAX-SAN,LAX,SAN,109.0,2447,"Thin route - reliable, short delay tail"
LAX-SAT,LAX,SAT,1211.0,1846,"Trunk route - multi-carrier, unreliable"
LAX-SBA,LAX,SBA,89.0,687,"Thin route - reliable, short delay tail"
LAX-SBN,LAX,SBN,1823.0,1,
LAX-SBP,LAX,SBP,155.0,635,"Thin route - reliable, short delay tail"
LAX-SDF,LAX,SDF,1843.0,54,
LAX-SEA,LAX,SEA,954.0,7450,"Trunk route - multi-carrier, unreliable"
LAX-SFO,LAX,SFO,337.0,11235,"Trunk route - multi-carrier, unreliable"
LAX-SGF,LAX,SGF,1423.0,10,
LAX-SGU,LAX,SGU,349.0,310,"Thin route - reliable, short delay tail"
LAX-SJC,LAX,SJC,308.0,4473,"Trunk route - multi-carrier, unreliable"
LAX-SLC,LAX,SLC,590.0,4189,"Trunk route - multi-carrier, unreliable"
LAX-SMF,LAX,SMF,373.0,5640,"Trunk route - multi-carrier, unreliable"
LAX-STL,LAX,STL,1592.0,1027,"Thin route - long-haul, rarely cancels"
LAX-STS,LAX,STS,399.0,728,"Thin route - reliable, short delay tail"
LAX-SUN,LAX,SUN,696.0,328,"Thin route - reliable, short delay tail"
LAX-TPA,LAX,TPA,2158.0,1192,"Thin route - long-haul, rarely cancels"
LAX-TUL,LAX,TUL,1283.0,375,"Thin route - reliable, short delay tail"
LAX-TUS,LAX,TUS,451.0,2600,"Thin route - reliable, short delay tail"
LAX-XNA,LAX,XNA,1371.0,442,"Thin route - reliable, short delay tail"
LBB-AUS,LBB,AUS,341.0,326,"Thin route - reliable, short delay tail"
LBB-DAL,LBB,DAL,293.0,1506,"Thin route - reliable, short delay tail"
LBB-DEN,LBB,DEN,456.0,985,"Thin route - long delay tail, high average delay"
LBB-DFW,LBB,DFW,282.0,2622,"Trunk route - multi-carrier, unreliable"
LBB-FLL,LBB,FLL,1398.0,1,
LBB-HOU,LBB,HOU,474.0,195,
LBB-IAH,LBB,IAH,457.0,184,
LBB-LAS,LBB,LAS,775.0,365,"Thin route - reliable, short delay tail"
LBB-MIA,LBB,MIA,1399.0,7,
LBB-PHX,LBB,PHX,588.0,365,"Thin route - reliable, short delay tail"
LBB-SLC,LBB,SLC,744.0,1,
LBE-FLL,LBE,FLL,980.0,26,
LBE-MCO,LBE,MCO,823.0,198,
LBE-MYR,LBE,MYR,455.0,79,
LBF-DEN,LBF,DEN,227.0,626,"Thin route - long delay tail, high average delay"
LBL-DEN,LBL,DEN,280.0,627,"Thin route - long delay tail, high average delay"
LCH-DFW,LCH,DFW,295.0,1044,"Thin route - reliable, short delay tail"
LCH-IAH,LCH,IAH,127.0,45,
LCK-CHS,LCK,CHS,503.0,4,
LCK-EYW,LCK,EYW,1054.0,21,
LCK-FLL,LCK,FLL,961.0,85,
LCK-MYR,LCK,MYR,478.0,118,
LCK-PGD,LCK,PGD,890.0,187,
LCK-PIE,LCK,PIE,821.0,172,
LCK-SAV,LCK,SAV,539.0,139,
LCK-SFB,LCK,SFB,767.0,162,
LCK-SRQ,LCK,SRQ,856.0,124,
LCK-VPS,LCK,VPS,675.0,123,
LEX-ATL,LEX,ATL,304.0,2054,"Thin route - reliable, short delay tail"
LEX-AUS,LEX,AUS,922.0,2,
LEX-CLT,LEX,CLT,281.0,1380,"Thin route - reliable, short delay tail"
LEX-DCA,LEX,DCA,414.0,304,"Thin route - reliable, short delay tail"
LEX-DEN,LEX,DEN,1086.0,365,"Thin route - reliable, short delay tail"
LEX-DFW,LEX,DFW,785.0,1213,"Trunk route - multi-carrier, unreliable"
LEX-DTW,LEX,DTW,296.0,788,"Thin route - reliable, short delay tail"
LEX-FLL,LEX,FLL,865.0,125,
LEX-LAS,LEX,LAS,1686.0,92,
LEX-LGA,LEX,LGA,604.0,96,
LEX-MIA,LEX,MIA,880.0,16,
LEX-MYR,LEX,MYR,438.0,20,
LEX-ORD,LEX,ORD,323.0,1710,"Thin route - long delay tail, high average delay"
LEX-PGD,LEX,PGD,781.0,164,
LEX-PHL,LEX,PHL,520.0,399,"Thin route - reliable, short delay tail"
LEX-PIE,LEX,PIE,707.0,176,
LEX-SFB,LEX,SFB,667.0,220,
LEX-SRQ,LEX,SRQ,743.0,90,
LEX-VPS,LEX,VPS,532.0,28,
LFT-ATL,LFT,ATL,503.0,177,
LFT-CLT,LFT,CLT,729.0,365,"Thin route - reliable, short delay tail"
LFT-DFW,LFT,DFW,351.0,1666,"Thin route - long delay tail, high average delay"
LFT-IAH,LFT,IAH,201.0,314,"Thin route - reliable, short delay tail"
LGA-ACK,LGA,ACK,202.0,412,"Thin route - reliable, short delay tail"
LGA-AGS,LGA,AGS,678.0,18,
LGA-ATL,LGA,ATL,762.0,8411,"Trunk route - multi-carrier, unreliable"
LGA-AVL,LGA,AVL,599.0,445,"Thin route - long delay tail, high average delay"
LGA-BGR,LGA,BGR,378.0,259,
LGA-BNA,LGA,BNA,764.0,3781,"Trunk route - multi-carrier, unreliable"
LGA-BOS,LGA,BOS,184.0,7343,"Trunk route - multi-carrier, unreliable"
LGA-BTV,LGA,BTV,258.0,62,
LGA-BUF,LGA,BUF,292.0,1758,"Thin route - long delay tail, high average delay"
LGA-BZN,LGA,BZN,1894.0,26,
LGA-CAE,LGA,CAE,617.0,617,"Thin route - long delay tail, high average delay"
LGA-CHO,LGA,CHO,305.0,352,"Thin route - long delay tail, high average delay"
LGA-CHS,LGA,CHS,641.0,1471,"Thin route - long delay tail, high average delay"
LGA-CLE,LGA,CLE,419.0,1793,"Thin route - long delay tail, high average delay"
LGA-CLT,LGA,CLT,544.0,4257,"Trunk route - multi-carrier, unreliable"
LGA-CMH,LGA,CMH,479.0,3047,"Trunk route - multi-carrier, unreliable"
LGA-CVG,LGA,CVG,585.0,314,"Thin route - long delay tail, high average delay"
LGA-DAB,LGA,DAB,897.0,2,
LGA-DAL,LGA,DAL,1381.0,1537,"Thin route - long delay tail, high average delay"
LGA-DAY,LGA,DAY,549.0,22,
LGA-DCA,LGA,DCA,214.0,4829,"Trunk route - multi-carrier, unreliable"
LGA-DEN,LGA,DEN,1620.0,4667,"Trunk route - multi-carrier, unreliable"
LGA-DFW,LGA,DFW,1389.0,6700,"Trunk route - multi-carrier, unreliable"
LGA-DSM,LGA,DSM,1031.0,260,
LGA-DTW,LGA,DTW,502.0,3935,"Trunk route - multi-carrier, unreliable"
LGA-EYW,LGA,EYW,1207.0,359,"Thin route - reliable, short delay tail"
LGA-FCA,LGA,FCA,2035.0,11,
LGA-FLL,LGA,FLL,1076.0,4692,"Trunk route - multi-carrier, unreliable"
LGA-GRR,LGA,GRR,618.0,940,"Thin route - long delay tail, high average delay"
LGA-GSO,LGA,GSO,461.0,1773,"Thin route - long delay tail, high average delay"
LGA-GSP,LGA,GSP,610.0,926,"Thin route - long delay tail, high average delay"
LGA-HHH,LGA,HHH,701.0,197,
LGA-HOU,LGA,HOU,1428.0,1359,"Thin route - long delay tail, high average delay"
LGA-HYA,LGA,HYA,197.0,77,
LGA-IAD,LGA,IAD,228.0,999,"Thin route - long delay tail, high average delay"
LGA-IAH,LGA,IAH,1416.0,4031,"Trunk route - multi-carrier, unreliable"
LGA-ILM,LGA,ILM,500.0,1027,"Thin route - long delay tail, high average delay"
LGA-IND,LGA,IND,660.0,2521,"Trunk route - multi-carrier, unreliable"
LGA-JAX,LGA,JAX,834.0,631,"Thin route - long delay tail, high average delay"
LGA-LEX,LGA,LEX,604.0,95,
LGA-LIT,LGA,LIT,1085.0,312,"Thin route - long delay tail, high average delay"
LGA-MCI,LGA,MCI,1107.0,1822,"Thin route - long delay tail, high average delay"
LGA-MCO,LGA,MCO,950.0,5216,"Trunk route - multi-carrier, unreliable"
LGA-MDW,LGA,MDW,725.0,2385,"Thin route - long delay tail, high average delay"
LGA-MEM,LGA,MEM,963.0,1067,"Thin route - long delay tail, high average delay"
LGA-MIA,LGA,MIA,1096.0,5986,"Trunk route - multi-carrier, unreliable"
LGA-MKE,LGA,MKE,738.0,841,"Thin route - reliable, short delay tail"
LGA-MSN,LGA,MSN,812.0,914,"Thin route - long delay tail, high average delay"
LGA-MSP,LGA,MSP,1020.0,1848,"Thin route - reliable, short delay tail"
LGA-MSY,LGA,MSY,1183.0,1420,"Trunk route - multi-carrier, unreliable"
LGA-MVY,LGA,MVY,175.0,321,"Thin route - reliable, short delay tail"
LGA-MYR,LGA,MYR,563.0,667,"Thin route - long delay tail, high average delay"
LGA-OKC,LGA,OKC,1341.0,774,"Thin route - long delay tail, high average delay"
LGA-OMA,LGA,OMA,1148.0,193,
LGA-ORD,LGA,ORD,733.0,11611,"Trunk route - multi-carrier, unreliable"
LGA-ORF,LGA,ORF,296.0,1289,"Thin route - long delay tail, high average delay"
LGA-PBI,LGA,PBI,1035.0,3208,"Trunk route - multi-carrier, unreliable"
LGA-PIT,LGA,PIT,335.0,3013,"Trunk route - multi-carrier, unreliable"
LGA-PNS,LGA,PNS,1030.0,13,
LGA-PWM,LGA,PWM,269.0,1183,"Trunk route - multi-carrier, unreliable"
LGA-RDU,LGA,RDU,431.0,2598,"Trunk route - multi-carrier, unreliable"
LGA-RIC,LGA,RIC,291.0,2276,"Thin route - long delay tail, high average delay"
LGA-ROA,LGA,ROA,405.0,347,"Thin route - long delay tail, high average delay"
LGA-ROC,LGA,ROC,254.0,120,
LGA-RSW,LGA,RSW,1080.0,897,"Thin route - long delay tail, high average delay"
LGA-SAV,LGA,SAV,722.0,578,"Thin route - long delay tail, high average delay"
LGA-SBN,LGA,SBN,651.0,14,
LGA-SDF,LGA,SDF,659.0,1036,"Thin route - reliable, short delay tail"
LGA-SJU,LGA,SJU,1608.0,8,
LGA-SLC,LGA,SLC,1983.0,18,
LGA-SRQ,LGA,SRQ,1047.0,547,"Thin route - reliable, short delay tail"
LGA-STL,LGA,STL,888.0,2623,"Trunk route - multi-carrier, unreliable"
LGA-SYR,LGA,SYR,198.0,206,
LGA-TPA,LGA,TPA,1010.0,2795,"Trunk route - multi-carrier, unreliable"
LGA-TUL,LGA,TUL,1231.0,625,"Thin route - long delay tail, high average delay"
LGA-TVC,LGA,TVC,655.0,78,
LGA-TYS,LGA,TYS,647.0,139,
LGA-XNA,LGA,XNA,1147.0,896,"Thin route - long delay tail, high average delay"
LGB-ABQ,LGB,ABQ,664.0,96,
LGB-AUS,LGB,AUS,1226.0,428,"Thin route - reliable, short delay tail"
LGB-BNA,LGB,BNA,1785.0,365,"Thin route - long-haul, rarely cancels"
LGB-BWI,LGB,BWI,2318.0,128,
LGB-BZN,LGB,BZN,904.0,7,
LGB-DAL,LGB,DAL,1232.0,509,"Thin route - reliable, short delay tail"
LGB-DEN,LGB,DEN,854.0,1007,"Thin route - reliable, short delay tail"
LGB-ELP,LGB,ELP,699.0,39,
LGB-HNL,LGB,HNL,2569.0,730,"Thin route - long-haul, rarely cancels"
LGB-HOU,LGB,HOU,1374.0,461,"Thin route - long-haul, rarely cancels"
LGB-LAS,LGB,LAS,231.0,2117,"Thin route - reliable, short delay tail"
LGB-MCO,LGB,MCO,2203.0,1,
LGB-MDW,LGB,MDW,1741.0,284,
LGB-MSY,LGB,MSY,1656.0,4,
LGB-OAK,LGB,OAK,353.0,1597,"Thin route - reliable, short delay tail"
LGB-OGG,LGB,OGG,2498.0,370,"Thin route - long-haul, rarely cancels"
LGB-PHX,LGB,PHX,355.0,1519,"Thin route - reliable, short delay tail"
LGB-RNO,LGB,RNO,402.0,694,"Thin route - reliable, short delay tail"
LGB-SJC,LGB,SJC,324.0,1239,"Thin route - reliable, short delay tail"
LGB-SLC,LGB,SLC,588.0,1567,"Thin route - reliable, short delay tail"
LGB-SMF,LGB,SMF,387.0,1869,"Thin route - reliable, short delay tail"
LGB-STL,LGB,STL,1581.0,84,
LIH-DEN,LIH,DEN,3414.0,379,"Thin route - long-haul, rarely cancels"
LIH-HNL,LIH,HNL,102.0,7725,"Trunk route - multi-carrier, unreliable"
LIH-KOA,LIH,KOA,263.0,365,"Thin route - reliable, short delay tail"
LIH-LAS,LIH,LAS,2817.0,365,"Thin route - long-haul, rarely cancels"
LIH-LAX,LIH,LAX,2615.0,1578,"Thin route - long-haul, rarely cancels"
LIH-OAK,LIH,OAK,2456.0,660,"Thin route - long-haul, rarely cancels"
LIH-OGG,LIH,OGG,202.0,1460,"Thin route - reliable, short delay tail"
LIH-PDX,LIH,PDX,2630.0,253,
LIH-PHX,LIH,PHX,2979.0,384,"Thin route - long-haul, rarely cancels"
LIH-SAN,LIH,SAN,2676.0,284,
LIH-SEA,LIH,SEA,2700.0,1094,"Thin route - long-haul, rarely cancels"
LIH-SFO,LIH,SFO,2446.0,898,"Thin route - long-haul, rarely cancels"
LIH-SJC,LIH,SJC,2465.0,160,
LIH-SMF,LIH,SMF,2508.0,209,
LIT-ATL,LIT,ATL,453.0,2294,"Thin route - reliable, short delay tail"
LIT-BNA,LIT,BNA,327.0,298,
LIT-CLT,LIT,CLT,640.0,1236,"Thin route - reliable, short delay tail"
LIT-DAL,LIT,DAL,296.0,1038,"Thin route - reliable, short delay tail"
LIT-DCA,LIT,DCA,888.0,364,"Thin route - reliable, short delay tail"
LIT-DEN,LIT,DEN,771.0,1572,"Trunk route - multi-carrier, unreliable"
LIT-DFW,LIT,DFW,304.0,2665,"Trunk route - multi-carrier, unreliable"
LIT-HOU,LIT,HOU,393.0,24,
LIT-IAH,LIT,IAH,374.0,653,"Thin route - long delay tail, high average delay"
LIT-LAS,LIT,LAS,1294.0,360,"Thin route - reliable, short delay tail"
LIT-LAX,LIT,LAX,1494.0,3,
LIT-LGA,LIT,LGA,1085.0,312,"Thin route - reliable, short delay tail"
LIT-MCO,LIT,MCO,776.0,11,
LIT-MIA,LIT,MIA,941.0,52,
LIT-ORD,LIT,ORD,552.0,1457,"Thin route - long delay tail, high average delay"
LIT-PHX,LIT,PHX,1136.0,306,"Thin route - reliable, short delay tail"
LIT-PIE,LIT,PIE,734.0,25,
LIT-SFB,LIT,SFB,765.0,53,
LIT-SLC,LIT,SLC,1156.0,271,
LIT-STL,LIT,STL,296.0,403,"Thin route - reliable, short delay tail"
LIT-VPS,LIT,VPS,443.0,27,
LNK-DEN,LNK,DEN,423.0,1588,"Thin route - reliable, short delay tail"
LNK-DFW,LNK,DFW,549.0,115,
LNK-DTW,LNK,DTW,701.0,1,
LNK-LAX,LNK,LAX,1279.0,1,
LNK-ORD,LNK,ORD,466.0,1585,"Thin route - long delay tail, high average delay"
LNS-ORD,LNS,ORD,620.0,101,
LRD-DFW,LRD,DFW,396.0,1541,"Thin route - reliable, short delay tail"
LRD-LAS,LRD,LAS,1092.0,111,
LSE-AZA,LSE,AZA,1318.0,51,
LSE-ORD,LSE,ORD,215.0,1051,"Thin route - reliable, short delay tail"
LSE-SFB,LSE,SFB,1180.0,21,
LWB-CLT,LWB,CLT,185.0,171,
LWB-ORD,LWB,ORD,489.0,140,
LWS-SEA,LWS,SEA,262.0,364,"Thin route - reliable, short delay tail"
LWS-SLC,LWS,SLC,461.0,365,"Thin route - reliable, short delay tail"
LYH-IAD,LYH,IAD,147.0,130,
LYH-ORD,LYH,ORD,564.0,130,
MAF-AUS,MAF,AUS,294.0,601,"Thin route - reliable, short delay tail"
MAF-DAL,MAF,DAL,319.0,1353,"Thin route - reliable, short delay tail"
MAF-DEN,MAF,DEN,563.0,1506,"Thin route - reliable, short delay tail"
MAF-DFW,MAF,DFW,309.0,2921,"Trunk route - multi-carrier, unreliable"
MAF-HOU,MAF,HOU,441.0,1357,"Thin route - reliable, short delay tail"
MAF-IAH,MAF,IAH,429.0,777,"Thin route - reliable, short delay tail"
MAF-LAS,MAF,LAS,795.0,365,"Thin route - reliable, short delay tail"
MAF-PHX,MAF,PHX,581.0,367,"Thin route - reliable, short delay tail"
MBS-DTW,MBS,DTW,98.0,1055,"Thin route - reliable, short delay tail"
MBS-ORD,MBS,ORD,222.0,1006,"Thin route - long delay tail, high average delay"
MCI-ABQ,MCI,ABQ,718.0,206,
MCI-ATL,MCI,ATL,692.0,3272,"Thin route - reliable, short delay tail"
MCI-AUS,MCI,AUS,650.0,982,"Thin route - reliable, short delay tail"
MCI-BNA,MCI,BNA,491.0,1374,"Thin route - reliable, short delay tail"
MCI-BOS,MCI,BOS,1256.0,646,"Thin route - long delay tail, high average delay"
MCI-BUF,MCI,BUF,870.0,1,
MCI-BUR,MCI,BUR,1354.0,35,
MCI-BWI,MCI,BWI,966.0,882,"Thin route - reliable, short delay tail"
MCI-CHS,MCI,CHS,930.0,8,
MCI-CLT,MCI,CLT,808.0,1194,"Thin route - reliable, short delay tail"
MCI-CMH,MCI,CMH,632.0,21,
MCI-DAL,MCI,DAL,461.0,2032,"Thin route - reliable, short delay tail"
MCI-DCA,MCI,DCA,949.0,1927,"Trunk route - multi-carrier, unreliable"
MCI-DEN,MCI,DEN,533.0,4327,"Trunk route - multi-carrier, unreliable"
MCI-DFW,MCI,DFW,460.0,2525,"Trunk route - multi-carrier, unreliable"
MCI-DTW,MCI,DTW,629.0,1342,"Thin route - reliable, short delay tail"
MCI-ECP,MCI,ECP,797.0,99,
MCI-EWR,MCI,EWR,1092.0,489,"Thin route - reliable, short delay tail"
MCI-FLL,MCI,FLL,1242.0,551,"Thin route - long-haul, rarely cancels"
MCI-GUF,MCI,GUF,738.0,40,
MCI-HOU,MCI,HOU,666.0,1001,"Thin route - reliable, short delay tail"
MCI-IAD,MCI,IAD,926.0,144,
MCI-IAH,MCI,IAH,643.0,486,"Thin route - reliable, short delay tail"
MCI-IND,MCI,IND,451.0,350,"Thin route - reliable, short delay tail"
MCI-JAX,MCI,JAX,954.0,4,
MCI-JFK,MCI,JFK,1113.0,1,
MCI-LAS,MCI,LAS,1139.0,2008,"Trunk route - multi-carrier, unreliable"
MCI-LAX,MCI,LAX,1363.0,1313,"Thin route - long-haul, rarely cancels"
MCI-LGA,MCI,LGA,1107.0,1822,"Trunk route - multi-carrier, unreliable"
MCI-MCO,MCI,MCO,1072.0,1554,"Trunk route - multi-carrier, unreliable"
MCI-MDW,MCI,MDW,404.0,2107,"Thin route - reliable, short delay tail"
MCI-MIA,MCI,MIA,1251.0,844,"Thin route - reliable, short delay tail"
